Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,58,36,26,21,11,29,10,19,31,89,15,1
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,17,9,15,2,0,16,12,4,10,27,74,2
85,Djavan Anderson,nl NED,FWDF,Lazio,it Serie A,24,1995,1.9,0,0,0,0,0,1,0,1,3,3,3,0
86,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,46,32,20,21,5,19,1,18,22,68,11,0
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,20,10,0,12,8,19,3,16,5,25,36,0
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,1,1,0,1,0,1,1,0,0,1,1,0
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,72,44,31,35,6,32,9,23,59,131,40,1
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,1,0,1,0,0,0,0,0,0,1,0,0
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,52,27,28,18,6,27,7,20,47,99,36,0
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,23,18,11,11,1,9,2,7,8,31,5,0
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,0,0,1,0,4,0,4,2,3,4,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,54,31,26,25,3,23,7,16,33,87,61,1
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,0,0,0,0,0,1,1,6,2
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,5,2,3,1,1,1,0,1,9,14,15,0
97,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,22,1997,12.2,15,9,7,5,3,14,1,13,19,34,24,0
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,0,1,0,1,0,0,0,0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,16,4,7,7,2,19,5,14,9,25,25,1
100,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,37,25,24,7,6,23,3,20,14,51,20,4
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0
102,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,13,9,5,4,4,17,2,15,9,22,5,0
103,Antoñito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,26,18,19,7,0,9,0,9,15,41,20,1
104,Mirko Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,4,3,1,0,3,2,0,2,2,6,1,0
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,0,0,0,1,0
106,Christopher Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,25,16,13,9,3,29,2,27,15,40,14,0
107,Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,4,2,1,2,1,7,3,4,5,9,0,0
108,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,21,1998,21.7,28,12,6,18,4,15,1,14,13,41,11,0
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,3,2,1,2,0,3,0,3,0,3,0,0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,58,35,32,20,6,9,3,6,23,81,34,0
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,72,33,24,40,8,52,5,47,43,115,40,2
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,4,4,1,3,0,0,0,0,2,6,0,0
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,56,37,19,29,8,27,6,21,22,78,21,1
114,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,20,11,3,8,9,14,0,14,4,24,6,0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,44,27,35,8,1,26,18,8,52,96,142,0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,3,2,2,1,0,6,2,4,0,3,9,0
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33,20,23,8,2,20,4,16,29,62,82,0
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,0,0,0,0,0,0,0,0,0,0,0,0
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,0,0,0,0,0,0,0,1,1
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,36,24,20,12,4,12,7,5,19,55,20,1
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,1,1,1,0,0,0,0,0,0,1,1,0
122,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,32,19,19,11,2,22,4,18,11,43,23,1
123,José Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,3,2,0,2,1,7,0,7,5,8,5,0
124,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,3,0,1,2,0,4,0,4,2,5,1,0
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,42,24,15,23,4,25,6,19,25,67,35,0
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,1,1,1,0,0,0,0,0,1,2,7,2
127,Kwadwo Asamoah,gh GHA,DFFW,Inter,it Serie A,30,1988,7.1,10,8,4,5,1,8,1,7,9,19,13,0
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,26,13,15,11,0,13,2,11,16,42,13,0
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,0,0,0,0,0,0,0,0,1,1,15,1
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,4,3,3,1,0,2,0,2,1,5,4,0
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,1,1,1,0,0,1,0,1,1,2,0,0
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,29,19,7,9,13,16,1,15,22,51,7,0
133,Roger Assalé,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,3,2,1,0,2,8,0,8,0,3,1,0
134,Youcef Atal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,24,11,15,6,3,12,1,11,24,48,11,1
135,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,1,1,0,1,0,1,1,0,2,3,1,0
136,Christian Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,27,1992,8.3,10,8,5,5,0,19,0,19,5,15,9,0
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,31,19,10,12,9,39,1,38,14,45,16,0
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,1,1,1,0,0,0,0,0,0,1,21,1
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,14,9,6,3,5,8,0,8,15,29,21,1
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,3,0,1,2,0,2,0,2,3,6,0,0
141,Ludwig Augustinsson,se SWE,DFMF,Werder Bremen,de Bundesliga,25,1994,10.3,29,12,15,9,5,19,5,14,10,39,29,0
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30,93,69,58,27,8,38,6,32,47,140,98,2
143,Mathias Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,23,17,5,11,7,14,1,13,10,33,3,0
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,17,12,6,7,4,12,0,12,3,20,5,0
145,Javier Avilés,es ESP,MFFW,Leganés,es La Liga,21,1997,2,9,7,2,7,0,3,0,3,3,12,1,0
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,34,22,29,5,0,26,15,11,28,62,73,1
147,Taiwo Awoniyi,ng NGA,FWMF,Mainz 05,de Bundesliga,21,1997,5.4,2,0,0,2,0,4,2,2,2,4,3,0
148,Florian Ayé,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,17,9,9,5,3,17,2,15,4,21,18,1
149,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,1991,35,48,30,10,22,16,29,4,25,15,63,21,0
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,38,25,26,11,1,28,15,13,45,83,72,1
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,11,8,2,8,1,8,2,6,19,30,11,1
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,86,56,40,32,14,56,21,35,67,153,94,0
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,27,15,13,12,2,9,3,6,17,44,20,0
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,59,37,26,29,4,31,8,23,39,98,42,0
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,12,8,2,6,4,12,3,9,3,15,34,0
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,1986,7.6,5,1,1,2,2,4,0,4,0,5,7,0
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,29,17,10,16,3,21,3,18,45,74,34,1
