Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1680,David McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,32,1987,26.6,947,919,24,4,1,7,21,13,0,0,0,0,697,4,18
1681,Weston McKennie,us USA,MF,Juventus,it Serie A,21,1998,18.9,785,759,22,4,1,6,9,18,0,0,0,0,659,4,17
1682,Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,20,1999,34.1,1372,1202,158,72,2,16,242,12,73,70,0,0,936,12,48
1683,Scott McTominay,sct SCO,MF,Manchester Utd,eng Premier League,23,1996,23.7,1320,1278,40,32,0,23,12,8,0,0,0,0,1139,2,18
1684,Gary Medel,cl CHI,DFMF,Bologna,it Serie A,32,1987,5.7,342,325,17,13,0,1,0,4,0,0,0,0,314,0,2
1685,Facundo Medina,ar ARG,DF,Lens,fr Ligue 1,21,1999,22.3,1580,1515,63,49,0,29,4,14,0,0,0,0,1353,2,25
1686,Nathan de Medina,be BEL,DF,Arminia,de Bundesliga,22,1997,7.1,320,225,94,5,0,1,8,89,0,0,0,0,199,1,13
1687,Ben Mee,eng ENG,DF,Burnley,eng Premier League,30,1989,29.9,1130,1089,38,33,0,4,0,5,0,0,0,0,802,3,10
1688,Joshua Mees,de GER,FW,Union Berlin,de Bundesliga,24,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
1689,Admir Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,29,1991,9.1,440,410,28,7,1,8,20,4,7,2,1,0,340,2,13
1690,Soualiho Meïté,fr FRA,MF,Torino,it Serie A,26,1994,10.2,380,375,4,4,0,6,2,0,0,0,0,0,315,1,11
1691,Soualiho Meïté,fr FRA,MF,Milan,it Serie A,26,1994,6.5,289,280,7,6,1,3,1,1,0,0,0,0,243,2,4
1692,Hannibal Mejbri,tn TUN,MF,Manchester Utd,eng Premier League,17,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
1693,Farid El Melali,dz ALG,FWMF,Angers,fr Ligue 1,23,1997,4.6,140,138,2,1,0,0,8,1,0,0,0,0,106,0,2
1694,Filippo Melegoni,it ITA,MFDF,Genoa,it Serie A,21,1999,4.3,234,208,24,2,0,2,14,10,11,6,2,0,197,2,1
1695,Gonzalo Melero,es ESP,MFFW,Levante,es La Liga,26,1994,20.6,1044,1016,26,13,1,4,3,7,0,0,0,0,920,2,13
1696,Birger Meling,no NOR,DF,Nîmes,fr Ligue 1,25,1994,25.9,1303,1008,290,30,0,5,39,259,1,0,1,0,1036,5,34
1697,Arthur Melo,br BRA,MF,Juventus,it Serie A,23,1996,12.9,1085,1054,29,25,0,9,3,1,3,2,0,0,1016,2,7
1698,Memphis,nl NED,FW,Lyon,fr Ligue 1,26,1994,32.5,1292,1083,201,59,8,14,166,9,107,47,24,2,899,8,38
1699,Houboulang Mendes,fr FRA,DF,Lorient,fr Ligue 1,22,1998,14.4,611,444,167,7,0,0,44,160,0,0,0,0,433,0,23
1700,Pedro Mendes,pt POR,DF,Montpellier,fr Ligue 1,29,1990,18.1,806,769,37,35,0,16,3,2,0,0,0,0,677,0,9
1701,Thiago Mendes,br BRA,MF,Lyon,fr Ligue 1,28,1992,24.9,1486,1434,46,41,2,18,12,4,1,0,0,0,1299,6,7
1702,Brais Méndez,es ESP,MFFW,Celta Vigo,es La Liga,23,1997,29.7,1193,1152,39,16,6,13,33,13,7,3,3,0,919,2,31
1703,Édgar Méndez,es ESP,MFFW,Alavés,es La Liga,30,1990,23.2,475,437,32,2,0,6,62,21,1,0,0,0,259,6,19
1704,Eñaut Mendía,es ESP,FW,Eibar,es La Liga,21,1999,0.7,11,11,0,0,0,0,2,0,0,0,0,0,4,0,2
1705,Batista Mendy,fr FRA,MF,Nantes,fr Ligue 1,20,2000,0.8,38,37,1,1,0,0,0,0,0,0,0,0,32,0,0
1706,Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,26,1994,10.6,666,578,87,3,0,1,30,82,2,0,2,0,540,1,12
1707,Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,28,1992,30.5,1027,812,213,34,0,2,0,0,0,0,0,0,874,2,0
1708,Edouard Mendy,sn SEN,GK,Rennes,fr Ligue 1,28,1992,1,29,21,8,2,0,0,0,0,0,0,0,0,24,0,0
1709,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,25,1995,24.5,1466,1292,171,9,0,10,35,162,0,0,0,0,1302,3,20
1710,Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,28,1992,16.2,976,966,9,8,0,1,1,1,0,0,0,0,886,1,9
1711,Hamza Mendyl,ma MAR,FWDF,Schalke 04,de Bundesliga,22,1997,1.1,27,26,1,0,0,0,1,1,0,0,0,0,21,0,1
1712,Levent Mercan,de GER,FW,Schalke 04,de Bundesliga,19,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1713,Jorge Meré,es ESP,DF,Köln,de Bundesliga,23,1997,14.4,683,662,21,13,0,4,1,0,0,0,0,0,596,0,2
1714,Alex Meret,it ITA,GK,Napoli,it Serie A,23,1997,22,605,482,121,28,0,0,0,0,0,0,0,0,541,2,1
1715,Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,24,1996,23.9,1217,1172,29,26,8,9,21,2,1,0,0,0,908,16,23
1716,Martín Merquelanz,es ESP,MFFW,Real Sociedad,es La Liga,25,1995,6.1,259,215,41,9,0,1,47,7,25,10,10,0,176,3,15
1717,Yıldırım Mert Çetin,tr TUR,DF,Hellas Verona,it Serie A,23,1997,4.6,180,166,13,7,0,0,1,6,0,0,0,0,141,1,0
1718,Dries Mertens,be BEL,FWMF,Napoli,it Serie A,33,1987,16.2,488,428,58,8,3,2,64,0,26,2,21,0,352,2,17
1719,Roque Mesa,es ESP,MF,Valladolid,es La Liga,31,1989,19.6,927,844,79,43,4,18,55,1,32,12,8,0,713,4,20
1720,Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,20,2000,35,1369,1016,350,83,0,3,0,0,0,0,0,0,1109,3,0
1721,Lionel Messi,ar ARG,FWMF,Barcelona,es La Liga,33,1987,33.6,2402,2151,228,87,20,14,126,5,99,36,22,0,1954,23,40
1722,Junior Messias,br BRA,MFFW,Crotone,it Serie A,29,1991,35.7,1214,1100,105,40,1,9,123,15,44,29,4,0,871,9,21
1723,Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,28,1991,16.4,1252,1105,145,10,0,10,48,135,0,0,0,0,1007,2,25
1724,Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,31,1988,7.9,480,450,29,13,0,12,3,16,0,0,0,0,406,1,3
1725,Max Meyer,de GER,MF,Köln,de Bundesliga,24,1995,3.9,254,246,8,6,0,0,7,0,1,1,0,0,216,0,2
1726,Omenuke Mfulu,cd COD,MF,Elche,es La Liga,26,1994,8.8,345,338,7,5,0,4,1,1,0,0,0,0,300,0,8
1727,Míchel,es ESP,MF,Valladolid,es La Liga,32,1988,10.5,694,623,68,45,0,9,44,5,18,6,7,1,551,3,11
1728,Jonas Michel Dirkner,de GER,MF,Hertha BSC,de Bundesliga,18,2002,0.2,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0
1729,Jonas Michelbrink,de GER,MF,Hertha BSC,de Bundesliga,19,2001,0.4,14,13,1,1,0,0,0,0,0,0,0,0,10,0,1
1730,Clément Michelin,fr FRA,DF,Lens,fr Ligue 1,23,1997,12.8,681,534,143,21,0,9,84,102,20,8,12,0,480,4,19
1731,Edouard Michut,fr FRA,MF,Paris S-G,fr Ligue 1,17,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1732,Petar Mićin,rs SRB,MF,Udinese,it Serie A,21,1998,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
1733,Florian Miguel,fr FRA,DF,Nîmes,fr Ligue 1,23,1996,17.1,931,856,74,35,0,6,7,39,0,0,0,0,741,1,7
1734,Valentin Mihaila,ro ROU,FWMF,Parma,it Serie A,20,2000,7.8,192,185,7,0,1,3,14,5,2,1,1,0,124,0,10
1735,Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,22,1997,33.7,1686,1527,156,63,0,21,6,93,0,0,0,0,1435,3,17
1736,Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,26,1994,13.6,305,268,37,3,0,1,7,3,1,0,1,0,228,0,14
