Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
842,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,11.6,23,16,9,11,3,13,3,10,13,36,15,0
843,Ryan Fraser,sct SCO,MFDF,Bournemouth,eng Premier League,23,1994,22.3,11,8,7,2,2,20,4,16,17,28,34,0
844,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,8.9,22,15,7,12,3,10,0,10,16,38,17,1
845,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,33.4,89,62,35,41,13,46,13,33,28,117,37,2
846,Marco Friedl,at AUT,MF,Bayern Munich,de Bundesliga,19,1998,0.5,0,0,0,0,0,1,0,1,1,1,0,0
847,Marco Friedl,at AUT,DFMF,Werder Bremen,de Bundesliga,19,1998,6.7,9,8,4,4,1,10,1,9,8,17,17,1
848,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,21.3,41,27,25,12,4,23,3,20,58,99,86,0
849,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,6,20,13,8,11,1,7,4,3,3,23,14,0
850,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,14.9,34,25,19,12,3,15,6,9,19,53,23,0
851,Chris Führich,de GER,MF,Köln,de Bundesliga,19,1998,1.1,4,3,1,2,1,3,0,3,0,4,1,0
852,Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,20,1996,17,21,11,9,8,4,21,2,19,20,41,7,0
853,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,26.5,16,11,4,8,4,22,3,19,8,24,30,0
854,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,0.2,0,0,0,0,0,0,0,0,0,0,1,0
855,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,1.3,0,0,0,0,0,1,1,0,3,3,14,0
856,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,25,1991,12,3,2,0,2,1,3,0,3,4,7,6,0
857,Gabi,es ESP,MF,Atlético Madrid,es La Liga,34,1983,26.1,80,49,39,37,4,28,10,18,44,124,38,0
858,Gabriel,br BRA,MF,Leganés,es La Liga,23,1993,26.4,90,69,28,54,8,38,4,34,38,128,27,0
