Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1244,Boubacar Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,17,1999,5.1,14,14,9,5,0,7,3,4,3,17,18,0
1245,Marcin Kamiński,pl POL,DF,Stuttgart,de Bundesliga,25,1992,12.6,17,14,5,11,1,12,3,9,30,47,55,0
1246,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,26,1990,22.4,42,33,16,20,6,37,2,35,33,75,33,0
1247,Kevin Kampl,si SVN,MF,Leverkusen,de Bundesliga,26,1990,0.3,1,1,1,0,0,0,0,0,0,1,0,0
1248,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,24,1993,34.2,17,12,2,8,7,15,4,11,5,22,19,0
1249,Wilfried Kanga,ci CIV,FWMF,Angers,fr Ligue 1,19,1998,1.9,2,2,0,2,0,0,0,0,0,2,1,0
1250,Mamadou Kanouté,sn SEN,FWMF,Benevento,it Serie A,23,1993,0.4,0,0,0,0,0,0,0,0,1,1,1,0
1251,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,26,1991,33.3,113,77,55,52,6,40,4,36,85,198,29,3
1252,Bartosz Kapustka,pl POL,FWMF,Freiburg,de Bundesliga,20,1996,2.6,9,5,2,6,1,4,0,4,3,12,0,0
1253,Kenan Karaman,tr TUR,MFFW,Hannover 96,de Bundesliga,23,1994,9.5,16,13,9,6,1,10,4,6,1,17,17,0
1254,Yann Karamoh,fr FRA,FWMF,Inter,it Serie A,19,1998,5.4,3,1,1,1,1,4,0,4,4,7,1,1
1255,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19,0,0,0,0,0,0,0,0,1,1,4,0
1256,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,14.4,0,0,0,0,0,0,0,0,1,1,3,3
1257,Rick Karsdorp,nl NED,DF,Roma,it Serie A,22,1995,0.9,1,1,1,0,0,0,0,0,1,2,0,0
1258,Aleksandar Katai,rs SRB,MFDF,Alavés,es La Liga,26,1991,0.6,1,1,0,1,0,0,0,0,0,1,0,0
1259,Florian Kath,de GER,FWMF,Freiburg,de Bundesliga,22,1994,7.5,15,10,3,9,3,9,0,9,8,23,1,0
1260,Ole Käuper,de GER,MF,Werder Bremen,de Bundesliga,20,1997,0.8,6,5,2,4,0,1,0,1,2,8,0,0
1261,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,28.5,1,1,1,0,0,0,0,0,3,4,9,2
1262,Beram Kayal,il ISR,MF,Brighton,eng Premier League,29,1988,8.3,18,11,10,7,1,11,4,7,12,30,9,0
1263,Joris Kayembe,be BEL,FWMF,Nantes,fr Ligue 1,22,1994,1,1,0,1,0,0,0,0,0,0,1,4,0
1264,Olarenwaju Kayode,ng NGA,FWMF,Girona,es La Liga,24,1993,4.3,3,3,1,2,0,1,0,1,1,4,0,0
1265,Moise Kean,it ITA,FW,Hellas Verona,it Serie A,17,2000,12.6,8,5,1,3,4,6,0,6,7,15,4,0
1266,Michael Keane,eng ENG,DF,Everton,eng Premier League,24,1993,28.4,33,25,26,5,2,39,28,11,53,86,214,0
1267,Thilo Kehrer,de GER,DF,Schalke 04,de Bundesliga,20,1996,26.3,81,64,41,36,4,42,12,30,35,116,113,2
1268,Cheick Keita,ml MLI,DF,Bologna,it Serie A,21,1996,1.4,2,2,1,1,0,5,0,5,2,4,1,0
1269,Naby Keïta,gn GUI,MF,RB Leipzig,de Bundesliga,22,1995,21.8,65,48,25,33,7,26,3,23,36,101,18,0
1270,Keko,es ESP,MFFW,Málaga,es La Liga,25,1991,13.4,38,23,17,13,8,25,3,22,13,51,9,0
1271,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,27,1990,13.3,19,13,15,4,0,16,11,5,9,28,67,3
1272,Marc-Oliver Kempf,de GER,DF,Freiburg,de Bundesliga,22,1995,10,13,12,9,4,0,7,7,0,17,30,52,0
1273,Kenedy,br BRA,MFDF,Newcastle Utd,eng Premier League,21,1996,11.4,31,17,16,13,2,12,1,11,14,45,11,0
1274,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,20,1997,17.7,41,33,28,10,3,17,7,10,28,69,95,0
1275,Ryan Kent,eng ENG,FWMF,Freiburg,de Bundesliga,20,1996,2.7,4,3,2,1,1,6,0,6,1,5,1,0
1276,Christophe Kerbrat,fr FRA,DF,Guingamp,fr Ligue 1,30,1986,36.9,62,45,47,14,1,49,40,9,62,124,249,2
1277,Franck Kessié,ci CIV,MF,Milan,it Serie A,20,1996,36.3,48,34,20,19,9,47,11,36,26,74,45,3
1278,Billy Ketkeophomphone,la LAO,MF,Angers,fr Ligue 1,27,1990,4.9,14,9,4,5,5,9,0,9,5,19,8,0
1279,Driss Khalid,ma MAR,FW,Toulouse,fr Ligue 1,18,1999,0.3,1,0,0,0,1,0,0,0,0,1,2,0
1280,Saîf-Eddine Khaoui,tn TUN,MFFW,Troyes,fr Ligue 1,22,1995,21.7,57,25,22,27,8,12,2,10,27,84,9,0
1281,Wahbi Khazri,tn TUN,FWMF,Rennes,fr Ligue 1,26,1991,21.3,26,18,7,10,9,29,0,29,7,33,7,0
1282,Rani Khedira,de GER,MFDF,Augsburg,de Bundesliga,23,1994,25.3,62,47,25,28,9,41,18,23,36,98,96,0
1283,Sami Khedira,de GER,MF,Juventus,it Serie A,30,1987,21.2,14,9,1,9,4,13,3,10,20,34,20,0
1284,Stefan Kießling,de GER,DFMF,Leverkusen,de Bundesliga,33,1984,0.9,0,0,0,0,0,2,0,2,0,0,1,0
1285,Kike,es ESP,FW,Eibar,es La Liga,27,1989,27.3,14,8,1,7,6,15,1,14,10,24,14,0
1286,Joshua Kimmich,de GER,DF,Bayern Munich,de Bundesliga,22,1995,25.9,32,23,14,13,5,26,5,21,20,52,40,0
1287,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,21,1995,26.9,39,28,20,18,1,17,10,7,24,63,80,1
1288,Andy King,wls WAL,MF,Leicester City,eng Premier League,28,1988,6,8,5,0,5,3,4,2,2,5,13,13,0
1289,Andy King,wls WAL,MF,Swansea City,eng Premier League,28,1988,7.9,18,11,10,8,0,7,0,7,6,24,14,1
1290,Joshua King,no NOR,FWMF,Bournemouth,eng Premier League,25,1992,27.3,36,26,11,17,8,23,3,20,4,40,14,1
1291,Simon Kjær,dk DEN,DF,Sevilla,es La Liga,28,1989,17.5,35,24,25,8,2,16,10,6,32,67,109,0
1292,Davy Klaassen,nl NED,MFFW,Everton,eng Premier League,24,1993,2.8,3,1,1,2,0,2,1,1,1,4,2,0
1293,Felix Klaus,de GER,MFFW,Hannover 96,de Bundesliga,24,1992,22,48,38,20,21,7,29,4,25,8,56,28,0
1294,Ragnar Klavan,ee EST,DF,Liverpool,eng Premier League,31,1985,16.1,14,10,6,7,1,11,5,6,15,29,85,1
1295,Tim Kleindienst,de GER,FWDF,Freiburg,de Bundesliga,21,1995,12.6,22,15,6,12,4,17,3,14,6,28,21,0
1296,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,21,1996,24.3,56,41,34,18,4,33,6,27,33,89,79,0
1297,Lukas Klünter,de GER,DFFW,Köln,de Bundesliga,21,1996,14.8,25,20,16,8,1,11,2,9,13,38,28,1
1298,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,25,1992,23.4,34,20,26,8,0,36,24,12,25,59,89,1
1299,Anthony Knockaert,fr FRA,MFFW,Brighton,eng Premier League,25,1991,26.9,39,26,25,11,3,29,3,26,23,62,16,0
1300,Törles Knöll,de GER,MFFW,Hamburger SV,de Bundesliga,19,1997,0.2,0,0,0,0,0,1,0,1,0,0,0,0
1301,Robin Koch,de GER,MFDF,Freiburg,de Bundesliga,21,1996,21.3,34,24,21,13,0,27,11,16,35,69,67,0
1302,Kenan Kodro,ba BIH,FWDF,Mainz 05,de Bundesliga,23,1993,2.6,1,1,0,1,0,1,0,1,3,4,0,0
1303,Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4,0,0,0,0,0,0,0,0,1,1,1,1
1304,Dominik Kohr,de GER,MF,Leverkusen,de Bundesliga,23,1994,18.5,49,26,20,25,4,39,5,34,30,79,24,0
1305,Seybou Koita,ne NIG,FW,Amiens,fr Ligue 1,23,1994,2.4,1,1,1,0,0,0,0,0,0,1,2,0
1306,Koke,es ESP,MF,Atlético Madrid,es La Liga,25,1992,30.6,75,45,31,32,12,40,3,37,24,99,38,0
1307,Aleksandar Kolarov,rs SRB,DF,Roma,it Serie A,31,1985,34,58,47,34,16,8,24,7,17,53,111,100,2
1308,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,24,1993,23.9,49,37,28,13,8,15,3,12,26,75,56,0
1309,Vincent Kompany,be BEL,DF,Manchester City,eng Premier League,31,1986,15.5,20,11,14,5,1,10,8,2,16,36,73,1
1310,Ibrahima Konaté,fr FRA,DF,RB Leipzig,de Bundesliga,18,1999,13.6,32,25,20,12,0,14,3,11,20,52,66,0
1311,Moussa Konaté,sn SEN,FW,Amiens,fr Ligue 1,24,1993,27.5,8,6,1,4,3,10,2,8,3,11,11,0
1312,Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,24,1993,29,88,57,38,43,7,46,14,32,62,150,66,0
1313,Bakary Koné,bf BFA,DF,Strasbourg,fr Ligue 1,29,1988,27.4,26,17,23,3,0,20,10,10,33,59,122,2
1314,Terence Kongolo,nl NED,DF,Huddersfield,eng Premier League,23,1994,11.7,33,20,19,13,1,12,6,6,32,65,71,0
1315,Terence Kongolo,nl NED,DF,Monaco,fr Ligue 1,23,1994,2.9,6,4,4,2,0,5,3,2,5,11,14,0
1316,Yevhen Konoplyanka,ua UKR,FWMF,Schalke 04,de Bundesliga,27,1989,17.4,11,9,3,4,4,18,1,17,5,16,6,0
1317,Julian Korb,de GER,DFMF,Hannover 96,de Bundesliga,25,1992,26,52,41,27,19,6,30,2,28,22,74,77,0
1318,Laurent Koscielny,fr FRA,DF,Arsenal,eng Premier League,31,1985,24.7,43,21,27,12,4,28,15,13,54,97,138,3
1319,Filip Kostić,rs SRB,FWMF,Hamburger SV,de Bundesliga,24,1992,27.1,48,38,16,21,11,42,1,41,10,58,12,0
1320,Christian Kouakou,ci CIV,MFFW,Caen,fr Ligue 1,26,1991,9.4,24,13,14,8,2,16,1,15,8,32,6,1
1321,Rominigue Kouamé,ml MLI,DFMF,Lille,fr Ligue 1,20,1996,2.2,5,2,2,2,1,1,0,1,5,10,0,0
1322,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34,0,0,0,0,0,0,0,0,3,3,22,3
1323,Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,26,1991,34.1,54,42,31,19,4,36,16,20,40,94,119,3
1324,Jules Koundé,fr FRA,DF,Bordeaux,fr Ligue 1,18,1998,17.7,26,19,19,7,0,14,11,3,14,40,97,0
1325,Cheikhou Kouyaté,sn SEN,MF,West Ham,eng Premier League,27,1989,31.1,71,49,43,26,2,31,11,20,32,103,56,1
1326,Mateo Kovačić,hr CRO,MF,Real Madrid,es La Liga,23,1994,11,37,27,19,18,0,9,4,5,5,42,5,0
1327,Maksym Koval,ua UKR,GK,La Coruña,es La Liga,24,1992,1.3,0,0,0,0,0,0,0,0,0,0,0,2
1328,Dawid Kownacki,pl POL,FW,Sampdoria,it Serie A,20,1997,9.1,8,7,1,4,3,7,0,7,1,9,5,0
1329,Vincent Koziello,fr FRA,MF,Nice,fr Ligue 1,21,1995,9,16,8,9,5,2,8,3,5,19,35,7,1
1330,Vincent Koziello,fr FRA,MF,Köln,de Bundesliga,21,1995,8.8,28,21,6,21,1,9,0,9,10,38,5,1
1331,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3,0,0,0,0,0,0,0,0,0,0,1,0
1332,Emil Krafth,se SWE,DF,Bologna,it Serie A,22,1994,10.5,23,16,14,8,1,12,4,8,16,39,39,1
1333,Oliver Kragl,de GER,MF,Crotone,it Serie A,27,1990,1.1,1,0,0,1,0,1,0,1,2,3,2,0
1334,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,26,1991,24.8,8,6,4,3,1,15,0,15,6,14,7,0
1335,Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,26,1991,23.9,89,70,43,34,12,29,4,25,43,132,37,1
1336,Ladislav Krejčí,cz CZE,MFFW,Bologna,it Serie A,25,1992,4.4,7,5,1,3,3,3,0,3,2,9,3,0
1337,Rene Krhin,si SVN,MF,Nantes,fr Ligue 1,27,1990,14.6,18,12,7,11,0,11,2,9,16,34,39,0
1338,Bojan Krkić,es ESP,MF,Stoke City,eng Premier League,26,1990,0.8,0,0,0,0,0,1,0,1,0,0,0,0
1339,Bojan Krkić,es ESP,FWMF,Alavés,es La Liga,26,1990,4.9,2,1,1,1,0,5,0,5,3,5,0,0
1340,Michael Krohn-Dehli,dk DEN,MF,La Coruña,es La Liga,34,1983,8.1,12,9,6,5,1,2,0,2,13,25,7,0
1341,Michael Krohn-Dehli,dk DEN,MFFW,Sevilla,es La Liga,34,1983,6,13,7,4,5,4,5,0,5,4,17,7,0
1342,Toni Kroos,de GER,MF,Real Madrid,es La Liga,27,1990,25.1,55,35,19,29,7,20,2,18,16,71,10,1
1343,Max Kruse,de GER,FW,Werder Bremen,de Bundesliga,29,1988,27.3,17,12,3,10,4,9,0,9,11,28,4,1
1344,Grzegorz Krychowiak,pl POL,MF,West Brom,eng Premier League,27,1990,18.2,39,24,18,17,4,23,5,18,45,84,23,0
1345,Lukas Kübler,de GER,DFMF,Freiburg,de Bundesliga,24,1992,12.8,31,19,16,15,0,15,6,9,18,49,41,0
1346,Jasmin Kurtić,si SVN,MFFW,SPAL,it Serie A,28,1989,16,28,18,13,11,4,13,1,12,17,45,25,0
1347,Jasmin Kurtić,si SVN,MF,Atalanta,it Serie A,28,1989,7.4,12,7,6,3,3,7,0,7,5,17,4,0
1348,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,24,1992,18.9,44,32,20,15,9,16,3,13,35,79,41,2
1349,Filip Kusić,rs SRB,DFMF,Köln,de Bundesliga,21,1996,0.2,0,0,0,0,0,0,0,0,0,0,1,0
1350,Zdravko Kuzmanović,rs SRB,MF,Málaga,es La Liga,29,1987,5.3,4,4,1,3,0,2,2,0,4,8,9,0
1351,Han Kwang-song,kp PRK,FW,Cagliari,it Serie A,18,1998,3.1,1,1,0,0,1,4,0,4,0,1,0,0
1352,Enock Kwateng,fr FRA,DF,Nantes,fr Ligue 1,20,1997,1,8,6,6,2,0,2,0,2,1,9,7,0
1353,Alberto de la Bella,es ESP,DF,Real Sociedad,es La Liga,31,1985,17,36,22,25,10,1,19,5,14,21,57,54,0
1354,Rajiv van La Parra,nl NED,FWMF,Huddersfield,eng Premier League,26,1991,23.7,41,29,18,15,8,27,1,26,21,62,8,1
1355,Brighton Labeau,mq MTQ,FW,Amiens,fr Ligue 1,21,1996,0.3,0,0,0,0,0,0,0,0,0,0,0,0
1356,Gaëtan Laborde,fr FRA,FW,Bordeaux,fr Ligue 1,23,1994,10.6,9,7,1,6,2,8,2,6,1,10,7,1
1357,Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,26,1991,24.5,24,17,6,11,7,19,3,16,7,31,5,0
1358,Mehdi Lacen,dz ALG,MF,Málaga,es La Liga,33,1984,11.7,35,19,18,17,0,13,1,12,15,50,11,0
1359,Mehdi Lacen,dz ALG,MF,Getafe,es La Liga,33,1984,0.7,3,1,2,1,0,1,0,1,0,3,1,0
1360,Léo Lacroix,ch SUI,DF,Saint-Étienne,fr Ligue 1,25,1992,8.6,13,8,8,5,0,6,3,3,11,24,54,1
1361,Freddie Ladapo,eng ENG,FW,Crystal Palace,eng Premier League,24,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1362,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38,1,0,1,0,0,0,0,0,2,3,20,5
1363,Víctor Laguardia,es ESP,DF,Alavés,es La Liga,27,1989,17,20,15,13,5,2,23,14,9,29,49,109,0
1364,Konrad Laimer,at AUT,DFMF,RB Leipzig,de Bundesliga,20,1997,14.9,57,39,31,22,4,37,2,35,11,68,32,0
1365,Kenny Lala,fr FRA,DF,Strasbourg,fr Ligue 1,25,1991,30.3,87,47,53,28,6,18,10,8,42,129,70,2
1366,Adam Lallana,eng ENG,MFFW,Liverpool,eng Premier League,29,1988,3.4,3,1,3,0,0,3,0,3,1,4,1,0
1367,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1,0,0,0,0,0,0,0,0,0,0,1,0
1368,Érik Lamela,ar ARG,FWMF,Tottenham,eng Premier League,25,1992,9.4,23,13,9,7,7,11,1,10,7,30,5,0
1369,Ádám Lang,hu HUN,DF,Dijon,fr Ligue 1,24,1993,2.6,3,1,3,0,0,2,1,1,3,6,12,0
1370,Sebastian Langkamp,de GER,DF,Hertha BSC,de Bundesliga,29,1988,10.6,15,12,9,6,0,7,4,3,21,36,58,1
1371,Sebastian Langkamp,de GER,DF,Werder Bremen,de Bundesliga,29,1988,4.6,7,3,4,3,0,7,5,2,8,15,18,0
1372,Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,24,1993,22.7,20,11,6,11,3,7,1,6,30,50,5,2
1373,Gianluca Lapadula,pe PER,FW,Genoa,it Serie A,27,1990,16.6,8,5,4,4,0,7,1,6,3,11,8,0
1374,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,23,1994,9,8,7,6,2,0,2,1,1,11,19,27,0
1375,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,23,1994,19,38,23,27,11,0,19,13,6,27,65,94,1
1376,Danilo Larangeira,br BRA,DF,Udinese,it Serie A,33,1984,30.8,35,21,26,8,1,50,38,12,50,85,161,2
1377,Kevin Lasagna,it ITA,FW,Udinese,it Serie A,24,1992,23.7,10,7,0,8,2,27,4,23,8,18,18,0
1378,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,23,1993,32.5,31,19,19,11,1,33,24,9,28,59,232,1
1379,Paul Lasne,fr FRA,MF,Montpellier,fr Ligue 1,28,1989,34,68,45,27,39,2,20,1,19,57,125,26,0
1380,Borja Lasso,es ESP,MF,Sevilla,es La Liga,23,1994,0.6,4,1,2,2,0,3,0,3,0,4,0,0
1381,Toni Lato,es ESP,DFMF,Valencia,es La Liga,19,1997,8.9,30,16,22,6,2,9,3,6,9,39,23,0
1382,Danny Latza,de GER,MF,Mainz 05,de Bundesliga,27,1989,26.1,67,48,28,33,6,43,8,35,26,93,47,1
1383,Vincent Laurini,fr FRA,DF,Fiorentina,it Serie A,28,1989,17.9,34,23,21,9,4,20,5,15,11,45,72,1
1384,Wesley Lautoa,nc NCL,DFMF,Dijon,fr Ligue 1,29,1987,6.9,17,13,11,6,0,10,4,6,19,36,24,1
1385,Diego Laxalt,uy URU,DF,Genoa,it Serie A,24,1993,31.2,54,43,31,17,6,38,3,35,25,79,55,1
1386,Miguel Layún,mx MEX,DF,Sevilla,es La Liga,29,1988,13.2,28,19,14,12,2,18,4,14,15,43,44,1
1387,Achraf Lazaar,ma MAR,MFDF,Benevento,it Serie A,25,1992,5.3,12,8,9,2,1,5,1,4,6,18,10,0
1388,Valentino Lazaro,at AUT,MFFW,Hertha BSC,de Bundesliga,21,1996,20.7,33,28,11,12,10,35,2,33,15,48,32,0
1389,Darko Lazović,rs SRB,DFMF,Genoa,it Serie A,26,1990,13.8,19,12,16,2,1,8,0,8,13,32,12,0
1390,Manuel Lazzari,it ITA,DF,SPAL,it Serie A,23,1993,34.6,61,47,33,21,7,32,7,25,31,92,73,2
1391,Mickaël Le Bihan,fr FRA,FWMF,Nice,fr Ligue 1,27,1990,1.2,0,0,0,0,0,0,0,0,1,1,0,0
1392,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,27,1989,28.2,48,36,28,18,2,36,13,23,65,113,105,4
1393,James Lea Siliki,cm CMR,MF,Rennes,fr Ligue 1,21,1996,20.2,31,21,9,19,3,21,1,20,18,49,14,1
1394,Mathew Leckie,au AUS,FWMF,Hertha BSC,de Bundesliga,26,1991,20.6,35,30,16,15,4,26,3,23,19,54,32,1
1395,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,26,1991,38,1,1,1,0,0,1,0,1,0,1,14,1
1396,Pierre Lees-Melou,fr FRA,MFFW,Nice,fr Ligue 1,24,1993,32.1,78,47,29,39,10,52,11,41,34,112,38,2
1397,Matthias Lehmann,de GER,MF,Köln,de Bundesliga,34,1983,16.8,33,23,14,18,1,15,7,8,26,59,24,1
1398,Lucas Leiva,br BRA,MF,Lazio,it Serie A,30,1987,32,107,80,43,59,5,33,7,26,70,177,59,0
1399,Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,26,1991,23.4,34,20,26,8,0,21,15,6,46,80,154,0
1400,Iñigo Lekue,es ESP,DFFW,Athletic Club,es La Liga,24,1993,23.5,71,42,37,26,8,29,3,26,16,87,46,1
1401,Thomas Lemar,fr FRA,MFFW,Monaco,fr Ligue 1,21,1995,26.4,33,17,9,19,5,22,1,21,18,51,16,1
1402,Mario Lemina,ga GAB,MF,Southampton,eng Premier League,23,1993,19.1,55,40,21,29,5,18,6,12,36,91,36,4
1403,Mauricio Lemos,uy URU,DF,Sassuolo,it Serie A,21,1995,7.8,11,9,8,3,0,10,5,5,9,20,33,1
1404,Mauricio Lemos,uy URU,DFMF,Las Palmas,es La Liga,21,1995,14,22,10,17,5,0,16,13,3,25,47,51,1
1405,Dylan Lempereur,fr FRA,DF,Metz,fr Ligue 1,18,1998,1.6,5,3,3,1,1,1,0,1,0,5,6,0
1406,Clément Lenglet,fr FRA,DF,Sevilla,es La Liga,22,1995,33.3,67,50,32,35,0,44,27,17,35,102,157,1
1407,Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,30,1987,12.4,20,14,5,14,1,20,5,15,8,28,18,0
1408,Aaron Lennon,eng ENG,FWMF,Everton,eng Premier League,30,1987,8.8,17,10,10,5,2,13,1,12,11,28,9,0
1409,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,25,1992,33,0,0,0,0,0,0,0,0,1,1,11,2
1410,Pedro León,es ESP,FWMF,Eibar,es La Liga,30,1986,10.3,9,4,0,2,7,18,2,16,9,18,5,0
1411,Sergio León,es ESP,FW,Betis,es La Liga,28,1989,22,13,7,3,6,4,12,1,11,6,19,5,0
1412,Lukas Lerager,dk DEN,MF,Bordeaux,fr Ligue 1,24,1993,36.5,107,74,33,61,13,44,8,36,67,174,66,1
1413,Mehdi Léris,dz ALG,MFFW,Chievo,it Serie A,19,1998,0.5,1,1,1,0,0,0,0,0,1,2,0,0
1414,Jefferson Lerma,co COL,MF,Levante,es La Liga,22,1994,23.7,51,35,26,23,2,25,10,15,49,100,43,0
1415,Maxime Lestienne,be BEL,MF,Málaga,es La Liga,25,1992,7.4,8,5,5,0,3,7,1,6,6,14,6,0
1416,Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,26,1990,13,0,0,0,0,0,0,0,0,0,0,1,2
1417,Gaetano Letizia,it ITA,DF,Benevento,it Serie A,27,1990,23.8,36,26,21,14,1,24,3,21,33,69,47,3
1418,Timo Letschert,nl NED,DF,Sassuolo,it Serie A,24,1993,4.6,13,8,10,3,0,9,3,6,7,20,23,0
1419,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,28,1988,24.1,5,3,1,1,3,6,0,6,5,10,10,0
1420,Igor Lewczuk,pl POL,DF,Bordeaux,fr Ligue 1,32,1985,4.9,9,7,5,3,1,2,2,0,7,16,11,0
1421,Stephan Lichtsteiner,ch SUI,DF,Juventus,it Serie A,33,1984,18.9,31,27,16,10,5,11,2,9,15,46,38,1
1422,Dimitri Liénard,fr FRA,MFFW,Strasbourg,fr Ligue 1,29,1988,28.9,77,51,37,32,8,35,2,33,52,129,41,1
1423,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,21,1996,9.6,16,14,12,4,0,14,9,5,11,27,60,0
1424,Lucas Lima,br BRA,DFFW,Nantes,fr Ligue 1,25,1991,29.5,73,46,40,27,6,42,6,36,38,111,85,0
1425,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,23,1994,14.3,17,11,10,6,1,15,11,4,13,30,67,1
1426,Karol Linetty,pl POL,MF,Sampdoria,it Serie A,22,1995,23.8,66,49,25,31,10,40,2,38,18,84,13,0
1427,Jesse Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,24,1992,20.2,30,21,10,13,7,18,3,15,9,39,13,0
1428,Pol Lirola,es ESP,DFFW,Sassuolo,it Serie A,19,1997,22.5,34,21,26,6,2,11,4,7,28,62,88,1
1429,Jake Livermore,eng ENG,MF,West Brom,eng Premier League,27,1989,29.7,72,41,27,35,10,44,9,35,26,98,36,2
1430,Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,26,1991,11,1,0,1,0,0,0,0,0,1,2,2,3
1431,Adem Ljajić,rs SRB,MFFW,Torino,it Serie A,25,1991,24.1,12,9,4,6,2,11,1,10,9,21,13,0
1432,Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,23,1993,25.8,30,22,16,13,1,41,18,23,43,73,96,0
1433,Fernando Llorente,es ESP,FWMF,Tottenham,eng Premier League,32,1985,2.6,6,3,1,2,3,0,0,0,0,6,6,0
1434,Marcos Llorente,es ESP,MF,Real Madrid,es La Liga,22,1995,6.1,15,8,7,8,0,7,0,7,5,20,8,0
1435,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,30,1986,36,1,1,1,0,0,0,0,0,2,3,34,8
1436,Giovani Lo Celso,ar ARG,MF,Paris S-G,fr Ligue 1,21,1996,19.7,77,58,26,36,15,30,5,25,19,96,12,1
1437,Simone Lo Faso,it ITA,FW,Fiorentina,it Serie A,19,1998,0.4,1,1,1,0,0,0,0,0,1,2,0,0
1438,Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,22,1994,34,64,45,24,35,5,25,9,16,39,103,22,0
1439,Jürgen Locadia,nl NED,FWMF,Brighton,eng Premier League,23,1993,2.5,1,0,0,1,0,0,0,0,1,2,1,1
1440,Manuel Locatelli,it ITA,MF,Milan,it Serie A,19,1998,7.6,16,13,6,9,1,10,2,8,9,25,13,0
1441,Ruben Loftus-Cheek,eng ENG,MF,Crystal Palace,eng Premier League,21,1996,20.8,21,15,7,13,1,19,2,17,22,43,31,0
1442,Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,16,2000,1.9,9,5,4,5,0,0,0,0,2,11,0,0
1443,Joe Lolley,eng ENG,FWMF,Huddersfield,eng Premier League,24,1992,2.5,2,0,1,1,0,0,0,0,3,5,2,1
1444,David Lombán,es ESP,DF,Eibar,es La Liga,30,1987,11,16,8,12,3,1,6,4,2,29,45,66,2
1445,Cristiano Lombardi,it ITA,MFDF,Benevento,it Serie A,21,1995,12.4,25,19,16,7,2,12,2,10,13,38,22,0
1446,Kevin Long,ie IRL,DF,Burnley,eng Premier League,26,1990,16,32,23,28,4,0,25,14,11,19,51,129,1
1447,Shane Long,ie IRL,FW,Southampton,eng Premier League,30,1987,17.6,25,20,1,19,5,14,2,12,12,37,29,0
1448,Ademola Lookman,ng NGA,FWMF,Everton,eng Premier League,19,1997,1.8,1,1,0,1,0,2,0,2,1,2,3,0
1449,Ademola Lookman,ng NGA,MFFW,RB Leipzig,de Bundesliga,19,1997,6.4,5,4,2,3,0,3,0,3,2,7,2,0
