Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
1537,Myziane Maolida,fr FRA,FWMF,Lyon,fr Ligue 1,18,1999,13,2,331,3.7
1538,Faitout Maouassa,fr FRA,MFFW,Rennes,fr Ligue 1,19,1998,19,9,887,9.9
1539,Fernando Marçal,br BRA,DF,Lyon,fr Ligue 1,28,1989,18,14,1295,14.4
1540,Vincent Marcel,fr FRA,MFFW,Nice,fr Ligue 1,20,1997,2,0,48,0.5
1541,Marcelo,br BRA,DF,Real Madrid,es La Liga,29,1988,28,26,2260,25.1
1542,Marcelo,br BRA,DF,Lyon,fr Ligue 1,30,1987,35,35,3105,34.5
1543,Solly March,eng ENG,MFFW,Brighton,eng Premier League,23,1994,36,18,1851,20.6
1544,Gabriele Marchegiani,it ITA,GK,SPAL,it Serie A,21,1996,1,0,1,0
1545,Claudio Marchisio,it ITA,MF,Juventus,it Serie A,31,1986,15,9,817,9.1
1546,Gian Marco Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1992,30,29,2645,29.4
1547,Óscar de Marcos,es ESP,DFFW,Athletic Club,es La Liga,28,1989,21,20,1658,18.4
1548,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,22,1995,23,17,1690,18.8
1549,Mariano,do DOM,FW,Lyon,fr Ligue 1,23,1993,34,30,2507,27.9
1550,Adrian Mariappa,jm JAM,DF,Watford,eng Premier League,30,1986,28,24,2210,24.6
1551,Jordan Marié,fr FRA,MF,Dijon,fr Ligue 1,25,1991,27,21,1883,20.9
1552,Adrián Marín,es ESP,DF,Villarreal,es La Liga,20,1997,3,2,233,2.6
1553,João Mário,pt POR,MF,West Ham,eng Premier League,24,1993,13,12,1022,11.4
1554,João Mário,pt POR,MFFW,Inter,it Serie A,24,1993,14,5,554,6.2
1555,Guillermo Maripán,cl CHI,DF,Alavés,es La Liga,23,1994,19,17,1528,17
1556,Marlon,br BRA,DF,Nice,fr Ligue 1,21,1995,23,22,1929,21.4
1557,Dominic Maroh,si SVN,DF,Köln,de Bundesliga,30,1987,11,10,914,10.2
1558,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,23,1994,26,25,2262,25.1
1559,Bruno Martella,it ITA,DF,Crotone,it Serie A,24,1992,30,30,2616,29.1
1560,Roger Martí,es ESP,FW,Levante,es La Liga,26,1991,17,10,963,10.7
1561,Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,21,1995,30,18,1582,17.6
1562,Aarón Martín,es ESP,DF,Espanyol,es La Liga,20,1997,32,31,2815,31.3
1563,Jonas Martin,fr FRA,MF,Strasbourg,fr Ligue 1,27,1990,36,36,3025,33.6
1564,Cuco Martina,cw CUW,DF,Everton,eng Premier League,27,1989,21,20,1830,20.3
1565,Carlos Martínez,es ESP,DF,Real Sociedad,es La Liga,31,1986,1,0,3,0
1566,Emiliano Martínez,ar ARG,GK,Getafe,es La Liga,24,1992,5,5,450,5
