Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
681,Landry Dimata,be BEL,FW,Wolfsburg,de Bundesliga,19,1997,21,9,902,10
682,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,26,1991,14,14,1192,13.2
683,Ismaël Diomandé,ci CIV,DFMF,Caen,fr Ligue 1,24,1992,11,8,712,7.9
684,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,24,1992,16,11,931,10.3
685,Issa Diop,fr FRA,DF,Toulouse,fr Ligue 1,20,1997,34,34,3060,34
686,Papakouli Diop,sn SEN,MF,Espanyol,es La Liga,31,1986,5,3,264,2.9
687,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,31,1986,15,12,940,10.4
688,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,19,1997,25,17,1344,14.9
689,Djené,tg TOG,DF,Getafe,es La Liga,25,1991,36,36,3239,36
690,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,24,1992,29,27,2416,26.8
691,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,22,1994,28,28,2520,28
692,Papy Djilobodji,sn SEN,DF,Dijon,fr Ligue 1,28,1988,30,30,2699,30
693,Berat Djimsiti,al ALB,DF,Benevento,it Serie A,24,1993,30,30,2700,30
694,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36,36,3240,36
695,Keagan Dolly,za RSA,MFFW,Montpellier,fr Ligue 1,24,1993,17,9,881,9.8
696,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5,5,450,5
697,Jean-Luc Dompé,fr FRA,FW,Amiens,fr Ligue 1,21,1995,1,0,29,0.3
698,Giulio Donati,it ITA,DFFW,Mainz 05,de Bundesliga,27,1990,29,26,2284,25.4
699,Ji Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,26,1991,3,0,19,0.2
700,Anastasios Donis,gr GRE,MFFW,Stuttgart,de Bundesliga,20,1996,18,11,949,10.5
701,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38,38,3420,38
702,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,21,1996,28,20,1794,19.9
703,Dória,br BRA,DF,Marseille,fr Ligue 1,22,1994,3,1,77,0.9
704,Niklas Dorsch,de GER,MF,Bayern Munich,de Bundesliga,19,1998,1,1,90,1
705,Gabriel Dos Santos,br BRA,DF,Troyes,fr Ligue 1,19,1997,1,0,84,0.9
706,Mauro dos Santos,ar ARG,DF,Leganés,es La Liga,28,1989,14,10,983,10.9
707,Mathieu Dossevi,tg TOG,FWMF,Metz,fr Ligue 1,29,1988,30,30,2509,27.9
708,Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,24,1993,37,37,3324,36.9
709,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,24,1992,19,12,1022,11.4
710,Mohamed Dräger,tn TUN,MFFW,Freiburg,de Bundesliga,21,1996,2,0,52,0.6
711,Aleksandar Dragović,at AUT,DF,Leicester City,eng Premier League,26,1991,11,7,769,8.5
712,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,26,1991,1,0,45,0.5
713,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,3,1,217,2.4
714,Boukary Dramé,sn SEN,DFMF,SPAL,it Serie A,32,1985,5,1,95,1.1
715,Julian Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,23,1993,30,19,1704,18.9
716,Danny Drinkwater,eng ENG,MF,Chelsea,eng Premier League,27,1990,12,5,527,5.9
717,Josip Drmić,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1992,13,4,467,5.2
718,Rick van Drongelen,nl NED,DF,Hamburger SV,de Bundesliga,18,1998,18,16,1440,16
719,Óscar Duarte,cr CRC,DF,Espanyol,es La Liga,28,1989,11,11,990,11
720,Rubén Duarte,es ESP,DF,Alavés,es La Liga,21,1995,24,24,2138,23.8
721,Leo Dubois,fr FRA,DF,Nantes,fr Ligue 1,22,1994,34,34,3021,33.6
722,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12,12,1080,12
723,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,22,1994,17,9,744,8.3
724,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,25,1992,37,37,3292,36.6
725,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,25,1991,20,19,1602,17.8
726,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,24,1993,26,23,1947,21.6
727,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,25,1991,38,38,3420,38
728,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1,1,90,1
729,Jimmy Durmaz,se SWE,MFFW,Toulouse,fr Ligue 1,28,1989,20,12,1028,11.4
730,Riza Durmisi,dk DEN,DF,Betis,es La Liga,23,1994,24,23,2080,23.1
731,Hugo Duro,es ESP,FW,Getafe,es La Liga,17,1999,2,0,19,0.2
732,Noë Dussenne,be BEL,FW,Crotone,it Serie A,25,1992,1,0,84,0.9
733,Paulo Dybala,ar ARG,MFFW,Juventus,it Serie A,23,1993,33,26,2353,26.1
734,Nathan Dyer,eng ENG,MFFW,Swansea City,eng Premier League,29,1987,24,16,1307,14.5
735,Edin Džeko,ba BIH,FW,Roma,it Serie A,31,1986,36,33,3018,33.5
736,Blerim Džemaili,ch SUI,MFFW,Bologna,it Serie A,31,1986,15,14,1193,13.3
737,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,20,1997,23,16,1524,16.9
738,Éder,it ITA,FWMF,Inter,it Serie A,30,1986,29,4,800,8.9
739,Simone Edera,it ITA,FWMF,Torino,it Serie A,20,1997,14,2,327,3.6
740,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,36,36,3194,35.5
741,Tom Edwards,eng ENG,DFMF,Stoke City,eng Premier League,18,1999,6,6,481,5.3
742,Mandela Egbo,eng ENG,DFMF,M'Gladbach,de Bundesliga,19,1997,1,0,11,0.1
743,Johannes Eggestein,de GER,FWDF,Werder Bremen,de Bundesliga,19,1998,7,0,99,1.1
744,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,20,1996,33,31,2692,29.9
745,Albin Ekdal,se SWE,MF,Hamburger SV,de Bundesliga,28,1989,19,12,1108,12.3
746,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,23,1994,11,9,774,8.6
747,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16,16,1440,16
748,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,25,1992,13,11,867,9.6
749,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,23,1994,19,18,1596,17.7
750,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,20,1996,33,33,2914,32.4
751,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,23,1993,31,30,2691,29.9
752,Breel Embolo,ch SUI,FWMF,Schalke 04,de Bundesliga,20,1997,21,9,919,10.2
753,Youssef En-Nesyri,ma MAR,FW,Málaga,es La Liga,20,1997,25,16,1596,17.7
754,Sergi Enrich,es ESP,FW,Eibar,es La Liga,27,1990,19,14,1330,14.8
755,Javier Eraso,es ESP,MFFW,Leganés,es La Liga,27,1990,34,31,2533,28.1
756,Christian Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,25,1992,37,37,3218,35.8
757,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,24,1993,28,16,1565,17.4
758,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,27,26,2332,25.9
759,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,34,32,2868,31.9
760,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3,3,270,3
761,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,27,1990,16,6,617,6.9
762,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,14,14,1215,13.5
763,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,24,12,1120,12.4
764,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,5,5,376,4.2
765,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,28,26,2270,25.2
766,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,2,2,110,1.2
767,Patrice Evra,fr FRA,DFMF,West Ham,eng Premier League,36,1981,5,3,228,2.5
768,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,4,4,349,3.9
769,Edu Expósito,es ESP,MFFW,La Coruña,es La Liga,20,1996,3,0,96,1.1
770,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,10,4,467,5.2
771,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,25,1992,21,8,706,7.8
772,Valentin Eysseric,fr FRA,FW,Nice,fr Ligue 1,25,1992,1,1,90,1
773,Imoh Ezekiel,ng NGA,MFFW,Las Palmas,es La Liga,23,1993,10,5,469,5.2
774,Marco Fabián,mx MEX,MFFW,Eint Frankfurt,de Bundesliga,28,1989,7,3,422,4.7
775,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38,38,3420,38
776,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34,34,3060,34
777,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,32,25,2307,25.6
778,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,34,34,3015,33.5
779,Fayçal Fajr,ma MAR,MFFW,Getafe,es La Liga,28,1988,31,26,2385,26.5
780,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,26,25,2129,23.7
781,Diego Falcinelli,it ITA,FW,Fiorentina,it Serie A,26,1991,12,3,440,4.9
782,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,20,15,1314,14.6
783,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1,1,90,1
784,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,27,25,2211,24.6
785,Cesar Falletti,uy URU,MFFW,Bologna,it Serie A,24,1992,13,1,321,3.6
786,Iago Falque,es ESP,FWMF,Torino,it Serie A,27,1990,37,34,2821,31.3
787,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,24,1993,35,25,2457,27.3
788,Imad Faraj,ma MAR,MFDF,Lille,fr Ligue 1,18,1999,7,1,162,1.8
789,Davide Faraoni,it ITA,DFMF,Crotone,it Serie A,25,1991,28,18,1754,19.5
790,Mohamed Fares,dz ALG,DFMF,Hellas Verona,it Serie A,21,1996,30,29,2604,28.9
791,Diego Farias,br BRA,FWMF,Cagliari,it Serie A,27,1990,28,14,1609,17.9
792,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,34,32,2922,32.5
793,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,15,14,1257,14
794,Nabil Fekir,fr FRA,MFFW,Lyon,fr Ligue 1,24,1993,30,28,2477,27.5
795,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,6,6,457,5.1
796,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,18,12,1168,13
797,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,19,17,1560,17.3
798,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,16,5,683,7.6
799,Kiko Femenía,es ESP,DFFW,Watford,eng Premier League,26,1991,23,19,1713,19
800,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,20,15,1397,15.5
801,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,37,36,3060,34
802,Edimilson Fernandes,ch SUI,MFDF,West Ham,eng Premier League,21,1996,14,9,845,9.4
803,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,19,12,1036,11.5
804,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,3,3,225,2.5
805,Augusto Fernández,ar ARG,MF,Atlético Madrid,es La Liga,31,1986,5,1,107,1.2
806,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,7,0,128,1.4
807,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,2,2,137,1.5
808,Enzo Fernández,es ESP,MF,Alavés,es La Liga,22,1995,2,1,71,0.8
809,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,30,30,2676,29.7
810,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11,11,990,11
811,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,34,33,2881,32
812,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,25,25,2136,23.7
813,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,24,4,638,7.1
814,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,10,7,537,6
815,Afonso Figueiredo,pt POR,DFFW,Rennes,fr Ligue 1,24,1993,5,1,223,2.5
816,Gian Filippo Felicioli,it ITA,MFDF,Hellas Verona,it Serie A,19,1997,6,2,277,3.1
817,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,22,22,1814,20.2
818,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,37,32,2763,30.7
819,Junior Firpo,es ESP,DF,Betis,es La Liga,20,1996,14,14,1189,13.2
820,Viktor Fischer,dk DEN,FWMF,Mainz 05,de Bundesliga,23,1994,10,3,336,3.7
821,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,8,6,480,5.3
822,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,27,25,2219,24.7
823,Sergio Floccari,it ITA,FW,SPAL,it Serie A,35,1981,20,9,883,9.8
824,Alessandro Florenzi,it ITA,DF,Roma,it Serie A,26,1991,32,26,2387,26.5
825,Phil Foden,eng ENG,MFFW,Manchester City,eng Premier League,17,2000,5,0,49,0.5
826,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,24,1992,16,7,743,8.3
827,Seko Fofana,ci CIV,MF,Udinese,it Serie A,22,1995,27,22,1868,20.8
828,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,27,1989,12,9,885,9.8
829,José Fonte,pt POR,DF,West Ham,eng Premier League,33,1983,8,8,688,7.6
830,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,21,1996,35,30,2620,29.1
831,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,25,1991,21,15,1370,15.2
832,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20,20,1800,20
833,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,25,1992,2,1,155,1.7
834,Marco Fossati,it ITA,MF,Hellas Verona,it Serie A,24,1992,17,11,1101,12.2
835,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,21,1996,19,13,1306,14.5
836,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37,37,3330,37
837,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,eng Premier League,19,1998,21,17,1596,17.7
838,Dimitri Foulquier,fr FRA,DF,Strasbourg,fr Ligue 1,24,1993,16,13,1239,13.8
839,Lilian Fournier,fr FRA,FW,Metz,fr Ligue 1,19,1998,1,0,15,0.2
840,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,21,1995,9,7,696,7.7
841,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,32,1985,32,31,2705,30.1
842,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,15,12,1041,11.6
843,Ryan Fraser,sct SCO,MFDF,Bournemouth,eng Premier League,23,1994,26,23,2004,22.3
844,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,11,10,802,8.9
845,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,35,33,3006,33.4
846,Marco Friedl,at AUT,MF,Bayern Munich,de Bundesliga,19,1998,1,0,45,0.5
847,Marco Friedl,at AUT,DFMF,Werder Bremen,de Bundesliga,19,1998,9,6,600,6.7
848,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,25,21,1921,21.3
849,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,11,6,537,6
850,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,17,17,1341,14.9
851,Chris Führich,de GER,MF,Köln,de Bundesliga,19,1998,2,1,95,1.1
852,Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,20,1996,29,16,1529,17
853,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,34,26,2387,26.5
854,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,2,0,19,0.2
855,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,4,1,121,1.3
856,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,25,1991,28,11,1081,12
857,Gabi,es ESP,MF,Atlético Madrid,es La Liga,34,1983,34,25,2349,26.1
858,Gabriel,br BRA,MF,Leganés,es La Liga,23,1993,29,28,2377,26.4
859,Mijat Gaćinović,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,22,1995,29,22,1815,20.2
860,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,23,1994,30,23,1988,22.1
861,Nicolás Gaitán,ar ARG,MFFW,Atlético Madrid,es La Liga,29,1988,6,1,219,2.4
862,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,4,4,360,4
863,Serge Gakpé,tg TOG,FWMF,Amiens,fr Ligue 1,30,1987,29,23,1825,20.3
864,Andrey Galabinov,bg BUL,FW,Genoa,it Serie A,28,1988,20,12,1129,12.5
865,Álex Gálvez,es ESP,DF,Las Palmas,es La Liga,28,1989,18,18,1619,18
866,Álex Gálvez,es ESP,DF,Eibar,es La Liga,28,1989,4,4,360,4
867,Bruno Gama,pt POR,FWMF,La Coruña,es La Liga,29,1987,6,1,115,1.3
868,Alessandro Gamberini,it ITA,DF,Chievo,it Serie A,35,1981,23,20,1815,20.2
869,Kévin Gameiro,fr FRA,FW,Atlético Madrid,es La Liga,30,1987,25,11,1125,12.5
870,Jesús Gámez,es ESP,DF,Newcastle Utd,eng Premier League,32,1985,2,1,98,1.1
871,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,27,1989,33,32,2751,30.6
872,Ignatius Ganago,cm CMR,FWMF,Nice,fr Ligue 1,18,1999,6,0,69,0.8
873,Najib Gandi,fr FRA,FWMF,Nantes,fr Ligue 1,23,1994,5,0,96,1.1
874,Ganso,br BRA,MF,Sevilla,es La Liga,27,1989,8,7,519,5.8
875,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,30,1986,24,23,2028,22.5
876,Aleix García,es ESP,MF,Girona,es La Liga,20,1997,20,7,852,9.5
877,Borja García,es ESP,MF,Girona,es La Liga,26,1990,37,34,2798,31.1
878,Dani García,es ESP,MF,Eibar,es La Liga,27,1990,32,32,2775,30.8
879,David García,es ESP,DF,Las Palmas,es La Liga,35,1982,11,9,860,9.6
880,Javi García,es ESP,MFDF,Betis,es La Liga,30,1987,32,27,2410,26.8
881,Manu García,es ESP,MF,Alavés,es La Liga,31,1986,30,27,2439,27.1
882,Raúl García,es ESP,MFFW,Athletic Club,es La Liga,31,1986,34,30,2627,29.2
883,Raúl García,es ESP,DF,Leganés,es La Liga,28,1989,19,15,1392,15.5
884,Samu García,es ESP,MF,Málaga,es La Liga,27,1990,7,2,177,2
885,Samu García,es ESP,FWMF,Levante,es La Liga,27,1990,11,2,191,2.1
886,Sergio García,es ESP,FWMF,Espanyol,es La Liga,34,1983,33,14,1641,18.2
887,Ulisses Garcia,ch SUI,FW,Werder Bremen,de Bundesliga,21,1996,1,1,90,1
888,Luca Garritano,it ITA,MFFW,Chievo,it Serie A,23,1994,11,0,189,2.1
889,Bruno Gaspar,ao ANG,DF,Fiorentina,it Serie A,24,1993,15,6,781,8.7
890,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,26,1990,32,31,2806,31.2
891,Gianluca Gaudino,de GER,MF,Chievo,it Serie A,20,1996,2,0,18,0.2
892,Dwight Gayle,eng ENG,FW,Newcastle Utd,eng Premier League,26,1990,35,23,1958,21.8
893,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1,1,90,1
894,Marcello Gazzola,it ITA,DF,Sassuolo,it Serie A,32,1985,9,9,739,8.2
895,Jean-Philippe Gbamin,ci CIV,MFDF,Mainz 05,de Bundesliga,21,1995,30,29,2591,28.8
896,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37,37,3330,37
897,Theodor Gebre Selassie,cz CZE,DFFW,Werder Bremen,de Bundesliga,30,1986,32,31,2828,31.4
898,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,19,1998,21,20,1588,17.6
899,Johannes Geis,de GER,DFMF,Sevilla,es La Liga,23,1993,14,7,676,7.5
900,Jérémy Gélin,fr FRA,DFMF,Rennes,fr Ligue 1,20,1997,28,25,2315,25.7
901,Romain Genevois,ht HAI,DF,Caen,fr Ligue 1,29,1987,24,22,1808,20.1
902,Santiago Gentiletti,ar ARG,DF,Genoa,it Serie A,32,1985,4,3,291,3.2
903,Christian Gentner,de GER,MF,Stuttgart,de Bundesliga,31,1985,27,27,2412,26.8
904,Yannick Gerhardt,de GER,DFMF,Wolfsburg,de Bundesliga,23,1994,17,12,1228,13.6
905,Valère Germain,fr FRA,FW,Marseille,fr Ligue 1,27,1990,35,24,2167,24.1
906,Gerson,br BRA,MFFW,Roma,it Serie A,20,1997,24,8,909,10.1
907,Willem Geubbels,fr FRA,FWMF,Lyon,fr Ligue 1,15,2001,2,0,33,0.4
908,Yassine El Ghanassy,be BEL,MFFW,Nantes,fr Ligue 1,27,1990,20,5,644,7.2
909,Anwar El Ghazi,nl NED,FWMF,Lille,fr Ligue 1,22,1995,27,19,1648,18.3
910,Rachid Ghezzal,dz ALG,FWMF,Monaco,fr Ligue 1,25,1992,26,7,1006,11.2
911,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,26,1991,11,11,985,10.9
912,Emanuele Giaccherini,it ITA,MFFW,Chievo,it Serie A,32,1985,13,11,903,10
913,Emanuele Giaccherini,it ITA,FWMF,Napoli,it Serie A,32,1985,4,0,64,0.7
914,Niccolò Giannetti,it ITA,FWDF,Cagliari,it Serie A,26,1991,8,3,293,3.3
915,Kieran Gibbs,eng ENG,DF,West Brom,eng Premier League,27,1989,33,32,2827,31.4
916,Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,2,1,154,1.7
917,Carles Gil,es ESP,FWMF,La Coruña,es La Liga,24,1992,10,6,476,5.3
918,Nacho Gil,es ESP,FWMF,Las Palmas,es La Liga,21,1995,14,8,729,8.1
919,Nacho Gil,es ESP,MF,Valencia,es La Liga,21,1995,6,2,229,2.5
920,Guillaume Gillet,be BEL,MF,Nantes,fr Ligue 1,33,1984,1,0,16,0.2
921,Dani Giménez,es ESP,GK,Betis,es La Liga,34,1983,4,4,308,3.4
922,Daniel Ginczek,de GER,FW,Stuttgart,de Bundesliga,26,1991,23,17,1523,16.9
923,Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,23,1994,34,34,3060,34
924,Jimmy Giraudon,fr FRA,DF,Troyes,fr Ligue 1,25,1992,25,24,2092,23.2
925,Thibault Giresse,fr FRA,FWMF,Guingamp,fr Ligue 1,36,1981,3,0,23,0.3
926,Andrei Girotto,br BRA,MF,Nantes,fr Ligue 1,25,1992,25,18,1520,16.9
927,Olivier Giroud,fr FRA,FW,Arsenal,eng Premier League,30,1986,16,1,388,4.3
928,Olivier Giroud,fr FRA,FW,Chelsea,eng Premier League,30,1986,13,6,613,6.8
929,Kamil Glik,pl POL,DF,Monaco,fr Ligue 1,29,1988,36,36,3240,36
930,Serge Gnabry,de GER,FW,Hoffenheim,de Bundesliga,22,1995,22,20,1507,16.7
931,Joris Gnagnon,fr FRA,DF,Rennes,fr Ligue 1,20,1997,36,32,2919,32.4
932,Massimo Gobbi,it ITA,DF,Chievo,it Serie A,36,1980,24,23,2048,22.8
933,Diego Godín,uy URU,DF,Atlético Madrid,es La Liga,31,1986,30,28,2554,28.4
934,Edoardo Goldaniga,it ITA,DF,Sassuolo,it Serie A,23,1993,13,13,1153,12.8
935,Connor Goldson,eng ENG,DF,Brighton,eng Premier League,24,1992,3,2,200,2.2
936,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,22,1995,7,7,622,6.9
937,André Gomes,pt POR,MF,Barcelona,es La Liga,24,1993,16,6,635,7.1
938,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,36,1981,24,24,2128,23.6
939,Ibai Gómez,es ESP,MFFW,Alavés,es La Liga,27,1989,34,26,2319,25.8
940,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,20,1997,23,21,1902,21.1
941,Mario Gómez,de GER,FW,Wolfsburg,de Bundesliga,32,1985,12,11,936,10.4
942,Mario Gómez,de GER,FW,Stuttgart,de Bundesliga,32,1985,16,16,1385,15.4
943,Maxi Gómez,uy URU,FW,Celta Vigo,es La Liga,20,1996,36,35,3068,34.1
944,Papu Gómez,ar ARG,MFFW,Atalanta,it Serie A,29,1988,33,31,2750,30.6
945,Sergi Gómez,es ESP,DF,Celta Vigo,es La Liga,25,1992,33,31,2680,29.8
946,Sergio Gómez,es ESP,MF,Dortmund,de Bundesliga,16,2000,2,0,9,0.1
947,Vicente Gómez,es ESP,MF,Las Palmas,es La Liga,28,1988,25,17,1525,16.9
948,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,23,1993,26,25,2261,25.1
949,Maxime Gonalons,fr FRA,MF,Roma,it Serie A,28,1989,16,12,1096,12.2
950,Anthony Gonçalves,fr FRA,MFFW,Strasbourg,fr Ligue 1,31,1986,29,18,1757,19.5
951,Vagner Gonçalves,cv CPV,FW,Saint-Étienne,fr Ligue 1,21,1996,4,1,108,1.2
952,Jérôme Gondorf,de GER,MFFW,Werder Bremen,de Bundesliga,29,1988,21,7,797,8.9
953,Adrián González,es ESP,MFFW,Málaga,es La Liga,29,1988,29,27,2340,26
954,Álvaro González,es ESP,DF,Villarreal,es La Liga,27,1990,33,32,2898,32.2
955,Bruno González,es ESP,DF,Getafe,es La Liga,27,1990,20,17,1540,17.1
956,Diego González,es ESP,DF,Málaga,es La Liga,22,1995,18,17,1429,15.9
957,Fabio González,es ESP,MF,Las Palmas,es La Liga,20,1997,1,1,64,0.7
958,Giancarlo González,cr CRC,DF,Bologna,it Serie A,29,1988,22,22,1857,20.6
959,Mario González,es ESP,FW,Villarreal,es La Liga,21,1996,2,0,18,0.2
960,Georges Gope-Fenepej,nc NCL,FW,Amiens,fr Ligue 1,28,1988,3,0,47,0.5
961,Leon Goretzka,de GER,MF,Schalke 04,de Bundesliga,22,1995,26,21,1982,22
962,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,26,1990,4,4,360,4
963,Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,20,1996,2,1,76,0.8
964,Robin Gosens,de GER,DF,Atalanta,it Serie A,23,1994,21,17,1451,16.1
965,Dan Gosling,eng ENG,MF,Bournemouth,eng Premier League,27,1990,28,21,1947,21.6
966,Mario Götze,de GER,MF,Dortmund,de Bundesliga,25,1992,23,19,1601,17.8
967,Mohamed Gouaida,tn TUN,MF,Hamburger SV,de Bundesliga,24,1993,1,1,58,0.6
968,Prince-Désir Gouano,fr FRA,DF,Amiens,fr Ligue 1,23,1993,32,32,2746,30.5
969,Lemouya Goudiaby,sn SEN,DF,Metz,fr Ligue 1,20,1997,2,1,85,0.9
