Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
72,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,20,1998,13.2,0,13,3,23.1,0.98,0.23,0,0,18.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2
73,Ibrahim Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,8.4,0,6,1,16.7,0.71,0.12,0,0,17.6,0,0,0,0.8,0.8,0.13,-0.8,-0.8
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0,5,1,20,0.58,0.12,0,0,13.5,0,0,0,0.7,0.7,0.14,-0.7,-0.7
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1,11,2,18.2,0.58,0.11,0.09,0.5,26.4,0,0,0,0.4,0.4,0.04,+0.6,+0.6
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,1,16,4,25,0.67,0.17,0.06,0.25,21.9,0,0,0,0.7,0.7,0.05,+0.3,+0.3
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,0,23,4,17.4,3.78,0.66,0,0,20,0,0,0,1.2,1.2,0.05,-1.2,-1.2
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0,8,3,37.5,0.44,0.17,0,0,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
80,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,20.6,1,42,18,42.9,2.04,0.87,0.02,0.06,23.3,1,0,0,2.2,2.2,0.05,-1.2,-1.2
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,1,0,0,1.11,0,0,,8.6,0,0,0,0.1,0.1,0.1,-0.1,-0.1
82,Opoku Ampomah,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,5.6,0,16,5,31.3,2.88,0.9,0,0,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1,18,6,33.3,0.55,0.18,0,0,22.7,0,1,1,2,1.3,0.07,-1,-1.3
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,1,10,1,10,0.59,0.06,0.1,1,16.1,0,0,0,0.9,0.9,0.09,+0.1,+0.1
85,Djavan Anderson,nl NED,FWDF,Lazio,it Serie A,24,1995,1.9,0,1,0,0,0.54,0,0,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
86,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,17.1,0,0,0,2.5,2.5,0.11,-1.5,-1.5
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,12,63,35,55.6,2.11,1.17,0.17,0.31,12.3,0,1,2,11.9,10.3,0.16,+0.1,+0.7
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,1,1,1,100,1.23,1.23,1,1,7.8,0,0,0,0.4,0.4,0.36,+0.6,+0.6
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,2,14,3,21.4,0.61,0.13,0.14,0.67,15.8,0,0,0,0.9,0.9,0.07,+1.1,+1.1
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1,49,7,14.3,1.71,0.24,0.02,0.14,24.9,4,0,0,2.6,2.6,0.05,-1.6,-1.6
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,4,0,0,0.35,0,0,,30.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,13,4,30.8,1.48,0.46,0.08,0.25,13.5,0,0,1,2.6,1.8,0.14,-1.6,-0.8
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1,24,7,29.2,0.92,0.27,0.04,0.14,28,8,0,0,0.8,0.8,0.03,+0.2,+0.2
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0,5,0,0,1.06,0,0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
97,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,22,1997,12.2,1,5,2,40,0.41,0.16,0.2,0.5,12.5,0,0,0,0.9,0.9,0.18,+0.1,+0.1
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,1,0,0,4.5,0,0,,31.8,0,0,0,0,0,0.02,0,0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,0,13,3,23.1,1.1,0.25,0,0,23.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4
100,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,32,1986,19.6,4,29,8,27.6,1.48,0.41,0.14,0.5,21,1,0,0,1.9,1.9,0.06,+2.1,+2.1
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,1,0,0,7.5,0,0,,13.9,0,0,0,0,0,0.05,0,0
102,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,10,67,30,44.8,3.41,1.53,0.13,0.3,13.7,0,1,1,12.9,12.1,0.19,-2.9,-3.1
103,Antoñito,es ESP,DFMF,Valladolid,es La Liga,31,1987,11.4,0,1,0,0,0.09,0,0,,9.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1
104,Mirko Antonucci,it ITA,FWMF,Roma,it Serie A,20,1999,0.9,0,3,0,0,3.29,0,0,,12.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
106,Christopher Antwi-Adjei,gh GHA,MFFW,Paderborn 07,de Bundesliga,25,1994,27.4,1,46,8,17.4,1.68,0.29,0.02,0.13,17.9,1,0,0,3.8,3.8,0.08,-2.8,-2.8
107,Anuar,ma MAR,MFFW,Valladolid,es La Liga,24,1995,2.1,0,1,0,0,0.48,0,0,,28,0,0,0,0,0,0.02,0,0
108,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,21,1998,21.7,3,46,18,39.1,2.12,0.83,0.07,0.17,20,2,0,0,3.7,3.7,0.08,-0.7,-0.7
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0,1,0,0,0.06,0,0,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1,47,7,14.9,1.38,0.21,0.02,0.14,25.3,5,0,0,2.1,2.1,0.04,-1.1,-1.1
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1,16,2,12.5,0.68,0.08,0.06,0.5,18.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4
114,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,23,1996,9.2,2,24,11,45.8,2.61,1.2,0.08,0.18,24.8,0,0,0,1,1,0.04,+1.0,+1.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1,13,3,23.1,0.41,0.09,0.08,0.33,14,0,0,0,1,1,0.08,0,0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,0,0.38,0,0,,3.7,0,0,0,0.2,0.2,0.21,-0.2,-0.2
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,24.9,3,0,0,0.7,0.7,0.05,+0.3,+0.3
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,0,6,2,33.3,0.5,0.17,0,0,19.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
122,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,21.2,0,0,0,2.8,2.8,0.06,+2.2,+2.2
123,José Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,2,21,6,28.6,2.39,0.68,0.1,0.33,16.2,0,0,0,1.4,1.4,0.07,+0.6,+0.6
124,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,0,10,4,40,2.67,1.07,0,0,19.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,4,63,16,25.4,2.01,0.51,0.06,0.25,26.4,9,0,0,2.9,2.9,0.05,+1.1,+1.1
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
127,Kwadwo Asamoah,gh GHA,DFFW,Inter,it Serie A,30,1988,7.1,0,3,1,33.3,0.42,0.14,0,0,18,0,0,0,0.1,0.1,0.04,-0.1,-0.1
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,0,2,0,0,0.28,0,0,,30.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,3,8,5,62.5,2.14,1.34,0.38,0.6,15.7,1,0,0,1.1,1.1,0.14,+1.9,+1.9
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,1,1,1,100,1.18,1.18,1,1,31,0,0,0,0,0,0.02,+1.0,+1.0
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,14,77,32,41.6,2.12,0.88,0.12,0.28,17.5,11,5,7,14.6,9,0.12,-0.6,0
133,Roger Assalé,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,2,11,6,54.5,1.86,1.02,0.18,0.33,16.2,0,0,0,1.7,1.7,0.15,+0.3,+0.3
134,Youcef Atal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,1,19,9,47.4,1.7,0.81,0.05,0.11,18.1,0,0,0,1.4,1.4,0.07,-0.4,-0.4
135,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,0,2,0,0,6,0,0,,12.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
136,Christian Atsu,gh GHA,MFFW,Newcastle Utd,eng Premier League,27,1992,8.3,0,5,1,20,0.6,0.12,0,0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,22,91,40,44,2.61,1.15,0.22,0.5,15.5,2,2,2,14.7,13.2,0.14,+7.3,+6.8
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,0,7,3,42.9,2.37,1.02,0,0,13.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5
141,Ludwig Augustinsson,se SWE,DFMF,Werder Bremen,de Bundesliga,25,1994,10.3,0,5,0,0,0.49,0,0,,24.1,2,0,0,0.2,0.2,0.05,-0.2,-0.2
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30,1,13,4,30.8,0.43,0.13,0.08,0.25,19.1,0,0,0,0.5,0.5,0.04,+0.5,+0.5
143,Mathias Autret,fr FRA,MFFW,Brest,fr Ligue 1,28,1991,13.6,2,27,9,33.3,1.99,0.66,0.07,0.22,22.1,0,0,0,1.8,1.8,0.07,+0.2,+0.2
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,9,69,28,40.6,3.9,1.58,0.13,0.32,18.5,0,0,0,7.7,7.7,0.12,+1.3,+1.3
145,Javier Avilés,es ESP,MFFW,Leganés,es La Liga,21,1997,2,1,5,2,40,2.45,0.98,0.2,0.5,18,0,0,0,0.6,0.6,0.12,+0.4,+0.4
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,0,11,0,0,0.5,0,0,,14,0,0,0,0.8,0.8,0.08,-0.8,-0.8
147,Taiwo Awoniyi,ng NGA,FWMF,Mainz 05,de Bundesliga,21,1997,5.4,1,14,3,21.4,2.61,0.56,0.07,0.33,11.1,0,0,0,3.2,3.2,0.23,-2.2,-2.2
148,Florian Ayé,fr FRA,FWMF,Brescia,it Serie A,22,1997,15.3,0,23,7,30.4,1.5,0.46,0,0,14.7,0,0,0,2.4,2.4,0.1,-2.4,-2.4
149,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,1991,35,9,58,24,41.4,1.66,0.69,0.16,0.38,14.8,0,0,0,7.5,7.5,0.13,+1.5,+1.5
