Player,Nation,Squad,score
Ivan Radovanović,SRB,Genoa,52.64
Baba Rahman,GHA,Reims,28.71
Joe Ralls,ENG,Cardiff City,59.00
Benito Raman,BEL,Düsseldorf,53.04
Sandro Ramírez,ESP,Real Sociedad,30.16
Jacob Rasmussen,DEN,Empoli,30.87
Tim Ream,USA,Fulham,42.84
Recio,ESP,Leganés,49.16
Sergio Reguilón,ESP,Real Madrid,36.10
Bobby Reid,JAM,Cardiff City,41.82
Loïc Rémy,FRA,Lille,29.65
Elvis Rexhbeçaj,GER,Wolfsburg,36.69
Diego Reyes,MEX,Leganés,11.13
Simon Rhein,GER,Nürnberg,17.92
Richarlison,BRA,Everton,86.55
Diego Rico,ESP,Bournemouth,43.27
Emiliano Rigoni,ARG,Atalanta,16.21
Luca Rigoni,ITA,Parma,52.12
Renaud Ripart,FRA,Nîmes,88.22
Mihailo Ristić,SRB,Montpellier,39.49
Cristian Rivera,ESP,Huesca,53.52
Patrick Roberts,ENG,Girona,19.36
Marc Roca,ESP,Espanyol,92.48
Rubén Rochina,ESP,Levante,51.92
Sebastian Rode,GER,Eint Frankfurt,45.22
Ronny Rodelin,FRA,Guingamp,23.26
Rodri,ESP,Atlético Madrid,89.57
Óscar Rodríguez Arnaiz,ESP,Leganés,73.95
Marko Rog,CRO,Sevilla,10.54
Diego Rolán,URU,Alavés,9.21
Esteban Rolón,ARG,Genoa,33.21
Alaixys Romao,TOG,Reims,72.50
Cristian Romero,ARG,Genoa,79.81
Rômulo,ITA,Genoa,43.42
Rômulo,ITA,Lazio,23.35
Cristiano Ronaldo,POR,Juventus,87.33
Facundo Roncaglia,ARG,Valencia,18.83
Salomón Rondón,VEN,Newcastle Utd,85.70
Roberto Rosales,VEN,Espanyol,52.86
Luca Rossettini,ITA,Chievo,57.06
Jérôme Roussillon,FRA,Wolfsburg,64.13
Nolan Roux,FRA,Guingamp,44.17
Waldo Rubio,ESP,Valladolid,17.83
Sebastian Rudy,GER,Schalke 04,43.63
Fabián Ruiz Peña,ESP,Napoli,75.78
Ihsan Sacko,FRA,Nice,12.59
Nuri Şahin,TUR,Werder Bremen,45.64
Romain Saïss,MAR,Wolves,66.33
Samuel Sáiz,ESP,Getafe,9.32
Bartosz Salamon,POL,Frosinone,66.60
William Saliba,FRA,Saint-Étienne,34.01
Yannis Salibur,FRA,Saint-Étienne,25.62
Roland Sallai,HUN,Freiburg,38.55
Paolo Sammarco,ITA,Frosinone,21.82
Antonio Sanabria,PAR,Genoa,33.50
Renato Sanches,POR,Bayern Munich,18.05
Sandro,BRA,Udinese,18.23
Sandro,BRA,Genoa,23.04
Salif Sané,SEN,Schalke 04,52.67
Luca Sangalli,ESP,Real Sociedad,19.69
Nicola Sansone,ITA,Bologna,41.64
Federico Santander,PAR,Bologna,42.14
Davide Santon,ITA,Roma,23.62
Michael Santos,URU,Leganés,18.15
Riccardo Saponara,ITA,Sampdoria,27.15
Marcelo Saracchi,URU,RB Leipzig,24.05
Téji Savanier,FRA,Nîmes,97.18
Fabian Schär,SUI,Newcastle Utd,59.90
Keven Schlotterbeck,GER,Freiburg,29.93
André Schürrle,GER,Fulham,50.42
Matteo Scozzarella,ITA,Parma,36.11
Ken Sema,SWE,Watford,22.54
Rúben Semedo,POR,Huesca,27.17
Suat Serdar,GER,Schalke 04,54.95
Jean Seri,CIV,Fulham,73.63
Ryan Sessegnon,ENG,Fulham,70.20
Xherdan Shaqiri,SUI,Liverpool,22.61
Gen Shoji,JPN,Toulouse,50.81
Kalidou Sidibé,FRA,Toulouse,39.25
Sidnei,BRA,Betis,38.62
Francisco Sierralta,CHI,Parma,8.04
Luca Siligardi,ITA,Parma,29.14
Adrien Silva,POR,Monaco,38.24
André Silva,POR,Sevilla,59.49
Jonathan Silva,ARG,Leganés,92.07
Matías Silvestre,ARG,Empoli,90.17
Moses Simon,NGA,Levante,23.45
Jack Simpson,ENG,Bournemouth,12.02
Ibrahima Sissoko,FRA,Strasbourg,72.25
Steven Skrzybski,GER,Schalke 04,16.72
Petar Škuletić,SRB,Montpellier,17.77
Robert Snodgrass,SCO,West Ham,53.48
Marcel Sobottka,GER,Düsseldorf,26.33
Dominic Solanke,ENG,Bournemouth,28.00
Roberto Soriano,ITA,Torino,14.25
Roberto Soriano,ITA,Bologna,75.71
Borna Sosa,CRO,Stuttgart,55.62
Çağlar Söyüncü,TUR,Leicester City,57.34
Leonardo Spinazzola,ITA,Juventus,19.22
Mattia Sprocati,ITA,Parma,18.25
Darijo Srna,CRO,Cagliari,68.10
Kostas Stafylidis,GRE,Augsburg,31.72
Kevin Stöger,AUT,Düsseldorf,57.44
Tobias Strobl,GER,M'Gladbach,46.88
Kevin Strootman,NED,Marseille,48.92
Leo Štulac,SVN,Parma,44.23
Leonardo Suárez,ARG,Valladolid,15.93
Mario Suárez,ESP,Rayo Vallecano,26.90
Mathías Suárez,URU,Montpellier,16.80
Isaac Success,NGA,Watford,29.84
Ki Sung-yueng,KOR,Newcastle Utd,44.48
Markus Suttner,AUT,Düsseldorf,30.07
Mattias Svanberg,SWE,Bologna,50.31
Eddy Sylvestre,FRA,Nice,7.87
Matt Targett,ENG,Southampton,33.14
Rodrigo Tarín,ESP,Leganés,39.39
Malik Tchokounté,FRA,Caen,43.07
Aurélien Tchouaméni,FRA,Bordeaux,27.21
Georg Teigl,AUT,Augsburg,9.58
Łukasz Teodorczyk,POL,Udinese,11.76
Hidde ter Avest,NED,Udinese,20.55
Martin Terrier,FRA,Lyon,40.74
Sada Thioub,SEN,Nîmes,81.36
Adrien Thomasson,FRA,Strasbourg,75.70
Youri Tielemans,BEL,Leicester City,72.32
Cheick Timite,CIV,Amiens,46.30
Tito,ESP,Rayo Vallecano,34.01
Jean-Clair Todibo,FRA,Toulouse,26.52
Karl Toko Ekambi,CMR,Villarreal,44.23
Raúl de Tomás,ESP,Rayo Vallecano,82.44
Lorenzo Tonelli,ITA,Sampdoria,42.50
Lucas Torreira,URU,Arsenal,56.87
Lucas Torró,ESP,Eint Frankfurt,15.06
Almamy Touré,MLI,Eint Frankfurt,26.90
Adama Traoré,ESP,Wolves,50.75
Charles Traore,MLI,Nantes,40.56
Cheick Traoré,MLI,Guingamp,44.34
Ibrahima Traoré,GUI,M'Gladbach,17.28
Óscar Trejo,ARG,Rayo Vallecano,57.97
William Troost-Ekong,NGA,Udinese,85.15
Marcello Trotta,ITA,Frosinone,15.03
Anthony Ujah,NGA,Mainz 05,23.75
Enes Ünal,TUR,Valladolid,68.11
Takashi Usami,JPN,Düsseldorf,27.87
Mark Uth,GER,Schalke 04,33.94
Valentín Vada,ARG,Saint-Étienne,12.38
Mirko Valdifiori,ITA,SPAL,34.50
Enrico Valentini,ITA,Nürnberg,46.23
Valery,ESP,Girona,29.17
Yan Valery,TUN,Southampton,25.91
Theo Valls,FRA,Nîmes,56.39
Mattia Valoti,ITA,SPAL,43.78
Federico Valverde,URU,Real Madrid,45.77
Luca Valzania,ITA,Frosinone,33.91
Emiliano Velázquez,URU,Rayo Vallecano,38.80
Daniele Verde,ITA,Valladolid,20.58
Simone Verdi,ITA,Napoli,20.83
Freddie Veseli,ALB,Empoli,75.25
Mikel Vesga,ESP,Leganés,69.39
Jannik Vestergaard,DEN,Southampton,57.53
Rúben Vezo,POR,Levante,66.41
Aleix Vidal,ESP,Sevilla,16.73
Arturo Vidal,CHI,Barcelona,55.70
Ronaldo Vieira,GNB,Sampdoria,27.06
Luciano Vietto,ARG,Fulham,30.66
Emanuel Vignato,ITA,Chievo,20.60
Toni Villa,ESP,Valladolid,42.08
Rúben Vinagre,POR,Wolves,19.86
Carlos Vinícius,BRA,Monaco,15.28
Federico Viviani,ITA,Frosinone,13.57
Stefan de Vrij,NED,Inter,76.20
Šime Vrsaljko,CRO,Inter,21.64
Nikola Vukčević,MNE,Levante,30.78
Matěj Vydra,CZE,Burnley,22.16
Walace,BRA,Hannover 96,65.19
Luca Waldschmidt,GER,Freiburg,47.42
Kyle Walker-Peters,ENG,Tottenham,10.63
Danny Ward,ENG,Cardiff City,12.99
Daniel Wass,DEN,Valencia,75.60
Wout Weghorst,NED,Wolfsburg,80.02
Mitchell Weiser,GER,Leverkusen,54.85
Hendrik Weydandt,GER,Hannover 96,53.10
Jack Wilshere,ENG,West Ham,11.63
Kevin Wimmer,AUT,Hannover 96,55.29
Axel Witsel,BEL,Dortmund,70.51
Maximilian Wöber,AUT,Sevilla,15.57
Marius Wolf,GER,Dortmund,35.71
Bobby Wood,USA,Hannover 96,36.69
Xeka,POR,Lille,42.22
Andriy Yarmolenko,UKR,West Ham,15.36
Okay Yokuşlu,TUR,Celta Vigo,46.68
Amin Younes,GER,Napoli,15.18
Zaydou Youssouf,FRA,Bordeaux,12.39
Younn Zahary,COM,Caen,21.69
Miha Zajc,SVN,Empoli,34.49
Joseba Zaldúa,ESP,Real Sociedad,47.84
Andre-Frank Zambo Anguissa,CMR,Fulham,66.09
Francesco Zampano,ITA,Frosinone,80.37
Nicolò Zaniolo,ITA,Roma,52.76
Duván Zapata,COL,Atalanta,68.46
Simone Zaza,ITA,Torino,44.00
Marvin Zeegelaar,NED,Udinese,30.03
Arber Zeneli,KVX,Reims,24.28
Jean Zimmer,GER,Düsseldorf,34.39
Matthias Zimmermann,GER,Düsseldorf,97.75
Kévin Zohi,MLI,Strasbourg,16.53
Kenneth Zohore,DEN,Cardiff City,21.96
Kurt Zouma,FRA,Everton,85.90
Adam Zreľák,SVK,Nürnberg,31.77
Steven Zuber,SUI,Stuttgart,32.91
Filip Đorđević,SRB,Chievo,19.21
Filip Đuričić,SRB,Sassuolo,40.76
Max Aarons,ENG,Norwich City,94.29
Mehdi Abeid,ALG,Nantes,48.11
Charles Abi,FRA,Saint-Étienne,21.59
Tammy Abraham,ENG,Chelsea,42.90
Che Adams,SCO,Southampton,51.23
Sargis Adamyan,ARM,Hoffenheim,17.09
Yacine Adli,FRA,Bordeaux,57.11
Lumor Agbenyenu,GHA,Mallorca,57.24
Kevin Agudelo,COL,Genoa,21.52
Ruben Aguilar,FRA,Monaco,58.17
Jean-Eudes Aholou,CIV,Saint-Étienne,18.80
Joseph Aidoo,GHA,Celta Vigo,64.03
Youssef Aït Bennasser,MAR,Bordeaux,16.68
Rayan Aït Nouri,FRA,Angers,39.97
Chadrac Akolo,COD,Amiens,17.83
Raúl Albiol,ESP,Villarreal,88.31
Paco Alcácer,ESP,Villarreal,31.00
Haitam Aleesami,NOR,Amiens,64.19
Carles Aleñá,ESP,Betis,22.75
Rachid Alioui,MAR,Angers,46.47
Steven Alzate,COL,Brighton,24.86
Ibrahim Amadou,FRA,Norwich City,23.63
Ibrahim Amadou,FRA,Leganés,25.75
Thierry Ambrose,GLP,Metz,18.45
Nadiem Amiri,GER,Leverkusen,44.60
Opoku Ampomah,GHA,Düsseldorf,15.60
Sofyan Amrabat,MAR,Hellas Verona,92.52
Joachim Andersen,DEN,Lyon,50.58
Sebastian Andersson,SWE,Union Berlin,81.86
Benjamin André,FRA,Lille,75.38
Robert Andrich,GER,Union Berlin,81.20
Victorien Angban,CIV,Metz,40.03
Angeliño,ESP,Manchester City,12.94
Angeliño,ESP,RB Leipzig,67.66
Peter Ankersen,DEN,Genoa,34.83
Christopher Antwi-Adjei,GHA,Paderborn 07,87.01
Dennis Appiah,FRA,Nantes,53.26
José Arnaiz,ESP,Osasuna,24.53
José Arnaiz,ESP,Leganés,11.17
Santiago Ascacíbar,ARG,Hertha BSC,42.23
Roger Assalé,CIV,Leganés,17.45
Tommaso Augello,ITA,Sampdoria,68.78
Jean-Kévin Augustin,FRA,Monaco,7.86
Mathias Autret,FRA,Brest,37.59
Ezequiel Ávila,ARG,Osasuna,53.39
Chidozie Awaziem,NGA,Leganés,66.74
Taiwo Awoniyi,NGA,Mainz 05,15.59
Florian Ayé,FRA,Brescia,41.18
Ramon Azeez,NGA,Granada,43.40
Ludovic Baal,GUF,Brest,18.34
Iddrisu Baba,GHA,Mallorca,76.15
Khouma Babacar,SEN,Lecce,43.27
Dénys Bain,FRA,Brest,40.33
Tiemoué Bakayoko,FRA,Monaco,53.77
Lewis Baker,ENG,Düsseldorf,17.70
George Baldock,GRE,Sheffield Utd,90.63
Mario Balotelli,ITA,Brescia,42.21
Mattia Bani,ITA,Bologna,68.58
Antonín Barák,CZE,Lecce,43.70
Federico Barba,ITA,Valladolid,14.08
Nicolò Barella,ITA,Inter,74.91
Kike Barja,ESP,Osasuna,27.40
Antonio Barreca,ITA,Genoa,34.30
Leandro Barreiro Martins,LUX,Mainz 05,54.83
Musa Barrow,GAM,Bologna,64.99
Chris Basham,ENG,Sheffield Utd,85.46
Thomas Basila,FRA,Nantes,12.85
Gil Bastião Dias,POR,Granada,11.64
Gil Bastião Dias,POR,Monaco,33.28
Alessandro Bastoni,ITA,Inter,70.34
Cristian Battocchio,ITA,Brest,27.79
Christoph Baumgartner,AUT,Hoffenheim,63.78
Noah Joel Sarenren Bazee,NGA,Augsburg,12.24
Ihlas Bebou,TOG,Hoffenheim,69.89
Rodrigo Becão,BRA,Udinese,83.12
Sheraldo Becker,SUR,Union Berlin,34.79
Timo Becker,GER,Schalke 04,31.60
Valon Behrami,SUI,Genoa,24.26
Gaëtan Belaud,FRA,Brest,18.52
Haris Belkebla,ALG,Brest,71.43
Jean-Ricner Bellegarde,FRA,Strasbourg,62.29
Wissam Ben Yedder,FRA,Monaco,71.90
Cristian Benavente,PER,Nantes,10.60
Darío Benedetto,ARG,Marseille,49.87
László Bénes,SVK,M'Gladbach,28.36
Loris Benito,SUI,Bordeaux,69.46
Ismaël Bennacer,ALG,Milan,56.05
Ryan Bennett,ENG,Leicester City,9.68
Yassine Benrahou,FRA,Nîmes,33.18
Ramy Bensebaini,ALG,M'Gladbach,56.42
Nabil Bentaleb,ALG,Newcastle Utd,26.08
Sander Berge,NOR,Sheffield Utd,30.19
Steven Bergwijn,NED,Tottenham,22.37
Valon Berisha,KVX,Düsseldorf,30.50
Andrea Bertolacci,ITA,Sampdoria,16.08
El Bilal Touré,MLI,Reims,27.20
Philip Billing,DEN,Bournemouth,73.26
Cristiano Biraghi,ITA,Inter,44.14
Dimitri Bisoli,ITA,Brescia,65.34
Leonardo Bittencourt,GER,Werder Bremen,54.65
Birkir Bjarnason,ISL,Brescia,24.32
Ludovic Blas,FRA,Nantes,75.22
Kevin-Prince Boateng,GHA,Fiorentina,17.71
Antonin Bobichon,FRA,Angers,24.16
Salvatore Bocchetti,ITA,Hellas Verona,9.59
Quentin Boisgard,FRA,Toulouse,35.82
Federico Bonazzoli,ITA,Sampdoria,21.81
Fabio Borini,ITA,Hellas Verona,24.40
Sebastiaan Bornauw,BEL,Köln,79.87
Brandon Borrello,AUS,Freiburg,9.38
Denis Bouanga,GAB,Saint-Étienne,68.62
Hicham Boudaoui,ALG,Nice,37.57
Ryad Boudebouz,ALG,Saint-Étienne,45.19
Farid Boulaya,ALG,Metz,49.84
Jarrod Bowen,ENG,West Ham,60.18
Dedryck Boyata,BEL,Hertha BSC,66.46
John Boye,GHA,Metz,74.44
Domagoj Bradarić,CRO,Lille,30.18
Filip Bradarić,CRO,Celta Vigo,21.17
Martin Braithwaite,DEN,Barcelona,22.42
Brandon,ESP,Osasuna,12.71
Julian Brandt,GER,Dortmund,64.39
Jarrad Branthwaite,ENG,Everton,11.27
Darko Brašanac,SRB,Osasuna,58.34
Gleison Bremer,BRA,Torino,82.24
Yan Brice Eteki,CMR,Granada,33.61
Dylan Bronn,TUN,Metz,65.66
Josh Brownhill,ENG,Burnley,62.53
Gastón Brugman,URU,Parma,47.62
Jeffrey Bruma,NED,Mainz 05,22.83
Jacob Bruun Larsen,DEN,Hoffenheim,19.96
Bryan,ESP,Leganés,18.56
Ante Budimir,CRO,Mallorca,83.64
Emi Buendía,ARG,Norwich City,77.40
Marius Bülter,GER,Union Berlin,50.37
Esteban Burgos,ARG,Eibar,35.72
Oliver Burke,SCO,Alavés,43.14
Dan Burn,ENG,Brighton,59.59
Sam Byram,ENG,Norwich City,36.11
Erick Cabaco,URU,Getafe,19.95
Yohan Cabaye,FRA,Saint-Étienne,25.88
Manuel Cabit,MTQ,Metz,7.87
Leandro Cabrera,URU,Espanyol,72.12
Martín Cáceres,URU,Fiorentina,69.74
Jhonder Cádiz,VEN,Dijon,22.04
Gary Cahill,ENG,Crystal Palace,56.57
Arturo Calabresi,ITA,Amiens,62.02
Marco Calderoni,ITA,Lecce,65.71
Fernando Calero,ESP,Espanyol,32.12
Jonathan Calleri,ARG,Espanyol,50.76
Mahdi Camara,FRA,Saint-Étienne,72.01
Víctor Camarasa,ESP,Alavés,40.36
Xisco Campos,ESP,Mallorca,14.90
Víctor Campuzano,ESP,Espanyol,24.44
Emre Can,GER,Dortmund,54.85
João Cancelo,POR,Manchester City,69.15
Todd Cantwell,ENG,Norwich City,44.86
Gianluca Caprari,ITA,Parma,17.59
Francesco Caputo,ITA,Sassuolo,65.12
Maxence Caqueret,FRA,Lyon,49.54
Andrea Carboni,ITA,Cagliari,38.55
Irvin Cardona,FRA,Brest,47.96
Marc Cardona,ESP,Osasuna,21.90
Diego Carlos,BRA,Sevilla,87.66
Andy Carroll,ENG,Newcastle Utd,16.94
Moreto Cassamã,GNB,Reims,34.71
Francesco Cassata,ITA,Genoa,46.63
Jean-Charles Castelletto,CMR,Brest,57.96
Lucas Castro,ARG,SPAL,13.75
Gaetano Castrovilli,ITA,Fiorentina,63.32
Dani Ceballos,ESP,Arsenal,49.25
Fabien Centonze,FRA,Metz,71.37
Alberto Cerri,ITA,SPAL,13.09
Julian Chabot,GER,Sampdoria,16.07
Jhon Chancellor,VEN,Brescia,69.29
Kwon Chang-hoon,KOR,Freiburg,21.60
Gaëtan Charbonnier,FRA,Brest,56.02
Brendan Chardonnet,FRA,Brest,65.59
Aurélien Chedjou,CMR,Amiens,65.40
Pape Cheikh Diop,SEN,Celta Vigo,17.80
Chema,ESP,Getafe,12.91
Vlad Chiricheș,ROU,Sassuolo,49.43
Joris Chotard,FRA,Montpellier,53.51
Mounir Chouiar,FRA,Dijon,39.60
Andrea Cistana,ITA,Brescia,57.20
Alexis Claude-Maurice,FRA,Nice,51.45
Carlos Clerc,ESP,Levante,62.90
Jamilu Collins,NGA,Paderborn 07,98.66
Aaron Connolly,IRL,Brighton,28.58
Sébastien Corchia,FRA,Espanyol,8.24
Andreas Cornelius,DEN,Parma,49.68
Rober Correa,ESP,Eibar,33.69
Jaume Costa,ESP,Valencia,44.06
Yoann Court,FRA,Brest,44.73
Philippe Coutinho,BRA,Bayern Munich,43.60
Sebastián Cristóforo,URU,Eibar,27.97
Cucho,COL,Mallorca,45.66
Marc Cucurella,ESP,Getafe,97.70
Mickaël Cuisance,FRA,Bayern Munich,9.55
Matheus Cunha,BRA,Hertha BSC,46.90
Patrick Cutrone,ITA,Wolves,8.29
Patrick Cutrone,ITA,Fiorentina,24.22
Rafael Czichos,GER,Köln,70.53
Marco D'Alessandro,ITA,SPAL,24.42
Moanes Dabbur,ISR,Hoffenheim,33.99
Bryan Dabo,BFA,SPAL,36.45
Danilo,BRA,Juventus,69.28
Kevin Danso,AUT,Southampton,7.84
Matteo Darmian,ITA,Parma,82.41
Alphonso Davies,CAN,Bayern Munich,61.00
Keinan Davis,ENG,Aston Villa,11.54
Paweł Dawidowicz,POL,Hellas Verona,39.13
Craig Dawson,ENG,Watford,67.66
Lucas Deaux,FRA,Nîmes,52.23
Grégoire Defrel,MTQ,Sassuolo,34.52
Alessandro Deiola,ITA,Lecce,22.53
Thomas Delaine,FRA,Metz,51.59
Cristian Dell'Orco,ITA,Lecce,32.32
Fabian Delph,ENG,Everton,23.61
Merih Demiral,TUR,Juventus,22.35
Kerem Demirbay,GER,Leverkusen,58.89
Diego Demme,GER,Napoli,33.14
Kevin Denkey,TOG,Nîmes,18.14
Stefano Denswil,NED,Bologna,70.32
Fabio Depaoli,ITA,Sampdoria,54.46
Kastriot Dermaku,ALB,Parma,30.73
Daniele Dessena,ITA,Brescia,57.23
Samuel Di Carmine,ITA,Hellas Verona,26.52
Federico Di Francesco,ITA,SPAL,33.87
Giovanni Di Lorenzo,ITA,Napoli,93.29
Fousseni Diabaté,MLI,Amiens,38.59
Moussa Diaby,FRA,Leverkusen,72.10
Abdou Diallo,SEN,Paris S-G,41.49
Habib Diallo,SEN,Metz,60.92
Ibrahima Diallo,FRA,Brest,31.81
Amadou Diawara,GUI,Roma,35.27
Víctor Díaz,ESP,Granada,56.71
Federico Dimarco,ITA,Hellas Verona,49.81
Axel Disasi,FRA,Reims,72.75
Tiago Djaló,POR,Lille,38.23
Moussa Djenepo,MLI,Southampton,23.82
Alexander Djiku,GHA,Strasbourg,78.88
Kasper Dolberg,DEN,Nice,49.12
Nicolás Domínguez,ARG,Bologna,41.75
Giulio Donati,ITA,Lecce,56.83
Anastasios Donis,GRE,Reims,13.66
Alfredo Donnarumma,ITA,Brescia,50.55
Bas Dost,NED,Eint Frankfurt,37.29
Souleyman Doumbia,CIV,Angers,50.33
Mohamed Dräger,TUN,Paderborn 07,53.18
Dominick Drexler,GER,Köln,49.21
Josip Drmić,SUI,Norwich City,19.24
Domingos Duarte,POR,Granada,77.13
Léo Duarte,BRA,Milan,12.32
Óscar Duarte,CRC,Levante,44.53
Ondrej Duda,SVK,Norwich City,22.46
Haris Duljević,BIH,Nîmes,21.23
Alfred Duncan,GHA,Fiorentina,42.54
Erik Durm,GER,Eint Frankfurt,27.48
Jean-Kevin Duverne,FRA,Brest,65.98
Bruno Ecuele Manga,GAB,Dijon,86.59
John Egan,IRL,Sheffield Utd,85.12
Kingsley Ehizibue,NED,Köln,48.63
Elif Elmas,MKD,Napoli,34.62
Ahmed Elmohamady,EGY,Aston Villa,27.69
Adri Embarba,ESP,Espanyol,48.23
Breel Embolo,SUI,M'Gladbach,51.79
Renaud Emond,BEL,Nantes,9.44
Alan Empereur,BRA,Hellas Verona,26.90
Youssef En-Nesyri,MAR,Sevilla,39.61
Björn Engels,BEL,Aston Villa,41.69
Christian Eriksen,DEN,Inter,30.31
Bernardo Espinosa,COL,Espanyol,66.47
Pervis Estupiñán,ECU,Osasuna,97.14
Oghenekaro Etebo,NGA,Getafe,17.11
Xabier Etxeita,ESP,Getafe,34.42
Edu Expósito,ESP,Eibar,77.11
Valentin Eysseric,FRA,Hellas Verona,10.88
Filippo Falco,ITA,Lecce,64.25
Iago Falque,ESP,Genoa,17.02
Davide Faraoni,ITA,Hellas Verona,89.45
Diego Farias,BRA,Lecce,26.08
Ansu Fati,ESP,Barcelona,17.50
Julien Faussurier,FRA,Brest,35.98
Andrea Favilli,ITA,Genoa,20.57
Aleix Febas,ESP,Mallorca,53.20
Ljubomir Fejsa,SRB,Alavés,24.42
Nabil Fekir,FRA,Betis,81.99
Felipe,BRA,Atlético Madrid,58.92
João Félix,POR,Atlético Madrid,46.76
Ohis Felix Uduokhai,GER,Augsburg,60.90
Zinedine Ferhat,ALG,Nîmes,85.27
Bruno Fernandes,POR,Manchester Utd,70.91
Edimilson Fernandes,SUI,Mainz 05,39.11
Carlos Fernández,ESP,Granada,69.43
Gabriel Fernández,URU,Celta Vigo,15.79
Fernando,BRA,Sevilla,69.40
Facundo Ferreyra,ARG,Espanyol,16.18
Jordan Ferri,FRA,Montpellier,69.95
Junior Firpo,ESP,Barcelona,20.29
John Fleck,SCO,Sheffield Utd,74.81
Alessandro Florenzi,ITA,Valencia,23.82
Mamadou Fofana,MLI,Metz,38.67
Wesley Fofana,FRA,Saint-Étienne,22.89
Youssouf Fofana,FRA,Monaco,59.05
Lamine Fomba,FRA,Nîmes,57.98
Pablo Fornals,ESP,West Ham,72.07
Hernâni Fortes,POR,Levante,19.06
Dimitri Foulquier,FRA,Granada,60.99
Luke Freeman,ENG,Sheffield Utd,10.74
Marvin Friedrich,GER,Union Berlin,74.57
Niclas Füllkrug,GER,Werder Bremen,20.01
Matteo Gabbia,ITA,Milan,18.60
Ruben Gabrielsen,NOR,Toulouse,20.58
Marvin Gakpa,FRA,Metz,13.78
Enric Gallego,ESP,Osasuna,26.09
Fran Gámez,ESP,Mallorca,55.91
Idrissa Gana Gueye,SEN,Paris S-G,58.15
David García,ESP,Osasuna,96.21
Eric García,ESP,Manchester City,18.16
Raúl García,ESP,Valladolid,23.81
Rubén García,ESP,Osasuna,77.52
Unai García,ESP,Osasuna,33.58
Daniele Gastaldello,ITA,Brescia,12.06
Christian Gentner,GER,Union Berlin,54.62
Anwar El Ghazi,NED,Aston Villa,37.90
Rachid Ghezzal,ALG,Fiorentina,25.58
Paolo Ghiglione,ITA,Genoa,39.27
Klaus Gjasula,ALB,Paderborn 07,82.77
Ben Godfrey,ENG,Norwich City,83.73
Diego Godín,URU,Inter,47.25
Edoardo Goldaniga,ITA,Genoa,42.47
Benjamin Goller,GER,Werder Bremen,9.08
Maxi Gómez,URU,Valencia,67.52
Moi Gómez,ESP,Villarreal,60.30
Maxime Gonalons,FRA,Granada,49.57
Mathieu Goncalves,FRA,Toulouse,9.84
Álvaro González,ESP,Marseille,47.89
Bruno González,ESP,Levante,13.98
Édgar González,ESP,Betis,33.49
Anthony Gordon,ENG,Everton,42.88
Samuel Grandsir,FRA,Brest,45.34
Jack Grealish,ENG,Aston Villa,78.28
Mason Greenwood,ENG,Manchester Utd,40.78
Michael Gregoritsch,AUT,Schalke 04,25.62
Antoine Griezmann,FRA,Barcelona,75.72
Arnaut Groeneveld,NED,Bournemouth,18.05
Christian Groß,GER,Werder Bremen,38.66
Carlos Gruezo,ECU,Augsburg,43.70
Nemanja Gudelj,SRB,Sevilla,32.69
Ander Guevara,ESP,Real Sociedad,39.07
Frederic Guilbert,FRA,Aston Villa,58.52
Hugo Guillamón,ESP,Valencia,50.89
Bruno Guimarães,BRA,Lyon,40.12
Koray Günter,GER,Hellas Verona,72.36
Erling Haaland,NOR,Dortmund,54.99
Sébastien Haller,CIV,West Ham,44.78
Grant Hanley,SCO,Norwich City,64.09
Lukáš Haraslín,SVK,Sassuolo,10.32
Kortney Hause,ENG,Aston Villa,24.71
Eden Hazard,BEL,Real Madrid,24.68
Thorgan Hazard,BEL,Dortmund,47.64
Dalbert Henrique,BRA,Fiorentina,74.89
Mario Hermoso,ESP,Atlético Madrid,60.83
Aridane Hernández,EQG,Osasuna,61.24
Javier Hernández,MEX,Sevilla,12.29
Lucas Hernández,FRA,Bayern Munich,49.14
Onel Hernández,CUB,Norwich City,41.10
Theo Hernández,FRA,Milan,87.35
Hernani,BRA,Parma,69.60
Ander Herrera,ESP,Paris S-G,41.43
Héctor Herrera,MEX,Atlético Madrid,29.30
Yangel Herrera,VEN,Granada,75.47
Pablo Hervías,ESP,Valladolid,35.07
Gerrit Holtmann,PHI,Paderborn 07,37.82
Franck Honorat,FRA,Saint-Étienne,24.54
Conor Hourihane,IRL,Aston Villa,44.09
Florian Hübner,GER,Union Berlin,21.59
Mats Hummels,GER,Dortmund,83.23
Uwe Hünemeier,GER,Paderborn 07,45.46
Iago,BRA,Augsburg,49.50
Robert Ibáñez,ESP,Osasuna,16.94
Roger Ibanez,BRA,Roma,63.49
Didier Ibrahim Ndong,GAB,Dijon,73.42
Zlatan Ibrahimović,SWE,Milan,38.17
Mauro Icardi,ARG,Paris S-G,34.90
Borja Iglesias,ESP,Betis,47.28
Igor,BRA,SPAL,43.24
Igor,BRA,Fiorentina,42.39
Stefan Ilsanker,AUT,Eint Frankfurt,30.58
Marcus Ingvartsen,DEN,Union Berlin,56.67
Alexander Isak,SWE,Real Sociedad,55.71
Nicolas Isimat-Mirin,FRA,Toulouse,39.34
Alex Iwobi,NGA,Everton,55.10
Filip Jagiełło,POL,Genoa,18.21
Mato Jajalo,BIH,Udinese,35.64
Ismail Jakobs,SEN,Köln,58.35
