Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s
59,Alexander,ar ARG,FW,Leganés,es La Liga,29,1988,1,0,10,0.1
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,27.4
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,11,1252,13.9
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13
64,Allan,br BRA,MF,Napoli,it Serie A,27,1991,33,28,2616,29.1
65,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,2
66,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,25,22,1825,20.3
67,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,1994,10,9,759,8.4
68,Júnior Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,6,536,6
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,30.7
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,11,6,571,6.3
71,Sergio Álvarez,es ESP,DFMF,Eibar,es La Liga,26,1992,19,12,1069,11.9
72,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,29
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,32.5
75,Dani Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,19,1622,18
76,Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,0,9,0.1
77,Ibrahim Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,7,762,8.5
78,Romain Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,30,2522,28
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,7.1
80,Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,30.7
81,Amath,sn SEN,MF,Getafe,es La Liga,22,1996,15,13,1002,11.1
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,24.2
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,32
84,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,21,1996,13,10,754,8.4
85,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,0,2,0
86,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,0,3,0
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,32
88,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,25,1993,36,36,3043,33.8
89,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,23,8,881,9.8
90,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,28,2495,27.7
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,3,1,106,1.2
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,8,7,646,7.2
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,33.6
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11
96,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,24,23,1807,20.1
97,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,35,22,2133,23.7
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,34,3060,34
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,13,10,755,8.4
100,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,1,0,58,0.6
101,Michail Antonio,jm JAM,MFFW,West Ham,eng Premier League,28,1990,33,22,2103,23.4
102,Antoñito,es ESP,DFMF,Valladolid,es La Liga,30,1987,30,18,1863,20.7
103,Vitorino Antunes,pt POR,DFMF,Getafe,es La Liga,31,1987,28,25,2181,24.2
104,Anuar,ma MAR,MFFW,Valladolid,es La Liga,23,1995,19,12,1081,12
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,15,13,1025,11.4
106,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,37,35,3061,34
107,Emmanuel Apeh,ng NGA,FWMF,Celta Vigo,es La Liga,21,1996,2,0,14,0.2
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,33,32,2676,29.7
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,9,8,629,7
110,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,24,22,1891,21
111,Luiz Araújo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,25,6,781,8.7
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,32,30,2682,29.8
113,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,25,22,1950,21.7
114,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,1,0,20,0.2
115,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,21
116,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,25,20,1772,19.7
117,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,19,19,1682,18.7
118,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,1,0,38,0.4
119,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,29,20,1853,20.6
120,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,26,1992,29,16,1432,15.9
121,José Arnaiz,es ESP,MFFW,Leganés,es La Liga,23,1995,6,0,113,1.3
122,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,28,24,1990,22.1
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,33,33,2872,31.9
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,3240,36
125,Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,25,24,1997,22.2
126,Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,32,30,2671,29.7
127,Takuma Asano,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,13,9,699,7.8
128,Santiago Ascacíbar,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27,27,2428,27
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,2880,32
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,22,1996,30,19,1779,19.8
131,Iago Aspas,es ESP,FWMF,Celta Vigo,es La Liga,30,1987,27,26,2251,25
132,Simon Asta,de GER,DF,Augsburg,de Bundesliga,17,2001,1,1,90,1
133,Youcef Atal,dz ALG,DFFW,Nice,fr Ligue 1,22,1996,29,25,2263,25.1
134,Christian Atsu,gh GHA,MF,Newcastle Utd,eng Premier League,26,1992,28,15,1493,16.6
135,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,29,1989,36,30,2726,30.3
136,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,36,3240,36
137,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,de Bundesliga,21,1997,17,4,461,5.1
138,Ludwig Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,24,1994,34,34,3026,33.6
139,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,25,1992,8,6,564,6.3
140,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,29,1989,25,11,983,10.9
141,Ezequiel Ávila,ar ARG,FWMF,Huesca,es La Liga,24,1994,34,20,1997,22.2
142,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,26,1991,20,14,1181,13.1
143,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,23,1994,28,28,2449,27.2
144,Floyd Ayité,tg TOG,FWMF,Fulham,eng Premier League,29,1988,16,3,476,5.3
145,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,38,38,3402,37.8
146,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,26,25,2110,23.4
147,Florian Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,1,0,1,0
148,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,2,1,126,1.4
149,Khouma Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,29,16,1488,16.5
150,Ryan Babel,nl NED,FWMF,Fulham,eng Premier League,31,1986,16,15,1251,13.9
151,Carlos Bacca,co COL,FW,Villarreal,es La Liga,31,1986,33,12,1270,14.1
152,Juninho Bacuna,cw CUW,MFDF,Huddersfield,eng Premier League,20,1997,21,16,1412,15.7
153,Leandro Bacuna,cw CUW,MF,Cardiff City,eng Premier League,26,1991,11,4,561,6.2
154,Milan Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,23,14,1141,12.7
155,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,17,2001,20,20,1762,19.6
156,Holger Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,10,5,522,5.8
157,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,32,31,2469,27.4
158,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,33,33,2815,31.3
159,Leon Bailey,jm JAM,FW,Leverkusen,de Bundesliga,20,1997,29,21,1914,21.3
160,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,12,8,638,7.1
161,Leighton Baines,eng ENG,DF,Everton,eng Premier League,33,1984,6,5,375,4.2
162,Marvin Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,25,16,1470,16.3
163,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,31,26,2301,25.6
164,Ridle Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,15,10,937,10.4
165,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,23,23,2013,22.4
166,Keita Baldé,sn SEN,FW,Inter,it Serie A,23,1995,24,8,889,9.9
167,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,29,1989,29,21,1786,19.8
168,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,30,1988,11,6,523,5.8
169,Andrija Balić,hr CRO,FWMF,Udinese,it Serie A,20,1997,4,0,27,0.3
170,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,21,1997,18,18,1593,17.7
171,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,21,1997,18,18,1594,17.7
172,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,1980,20,15,1076,12
173,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,8,5,594,6.6
174,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,10,9,752,8.4
175,Mario Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,15,12,933,10.4
176,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,30,29,2573,28.6
177,Jonathan Bamba,fr FRA,FWMF,Lille,fr Ligue 1,22,1996,38,35,3004,33.4
178,Sol Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,28,28,2474,27.5
179,Yacine Bammou,ma MAR,FWMF,Caen,fr Ligue 1,26,1991,17,9,923,10.3
180,Éver Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,32,32,2667,29.6
181,Mattia Bani,it ITA,DF,Chievo,it Serie A,24,1993,30,29,2610,29
182,Léo Baptistão,br BRA,FWMF,Espanyol,es La Liga,25,1992,20,14,1233,13.7
183,Antonín Barák,cz CZE,MFFW,Udinese,it Serie A,23,1994,8,4,329,3.7
184,Federico Barba,it ITA,DF,Chievo,it Serie A,24,1993,30,29,2483,27.6
185,Danilo Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,22,18,1548,17.2
186,Enis Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,36,31,2836,31.5
187,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,3
188,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,33,1985,19,19,1670,18.6
189,Nicolò Barella,it ITA,MF,Cagliari,it Serie A,21,1997,35,35,3107,34.5
190,Philipp Bargfrede,de GER,MFDF,Werder Bremen,de Bundesliga,29,1989,15,13,1079,12
191,Antonino Barillà,it ITA,MF,Parma,it Serie A,30,1988,31,30,2618,29.1
192,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,24,1993,27,13,1245,13.8
193,Aymen Barkok,ma MAR,MF,Düsseldorf,de Bundesliga,20,1998,12,4,510,5.7
194,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,28,1989,37,26,2388,26.5
195,Harvey Barnes,eng ENG,MFFW,Leicester City,eng Premier League,20,1997,16,11,1004,11.2
196,Antonio Barragán,es ESP,DFFW,Betis,es La Liga,31,1987,14,12,934,10.4
197,Antonio Barreca,it ITA,DF,Newcastle Utd,eng Premier League,23,1995,1,0,5,0.1
198,Antonio Barreca,it ITA,DF,Monaco,fr Ligue 1,23,1995,7,7,593,6.6
199,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,18,2000,1,1,90,1
200,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,16,2001,9,5,399,4.4
201,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,34,1984,12,9,785,8.7
202,Musa Barrow,gm GAM,FW,Atalanta,it Serie A,19,1998,22,6,601,6.7
203,Fin Bartels,de GER,MFFW,Werder Bremen,de Bundesliga,31,1987,2,0,23,0.3
204,Marc Bartra,es ESP,DF,Betis,es La Liga,27,1991,33,33,2928,32.5
205,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,37,1981,7,4,260,2.9
206,Daniele Baselli,it ITA,MF,Torino,it Serie A,26,1992,34,27,2379,26.4
207,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,21,1996,23,16,1333,14.8
208,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,19,1999,2,1,92,1
209,Borja Bastón,es ESP,FW,Alavés,es La Liga,25,1992,27,18,1439,16
210,Alessandro Bastoni,it ITA,DF,Parma,it Serie A,19,1999,24,18,1690,18.8
211,Bastos,ao ANG,DF,Lazio,it Serie A,27,1991,18,11,1139,12.7
212,Michy Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,24,1993,11,9,750,8.3
213,Michy Batshuayi,be BEL,FW,Valencia,es La Liga,24,1993,15,4,527,5.9
214,Robert Bauer,de GER,DF,Nürnberg,de Bundesliga,23,1995,22,19,1722,19.1
215,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,2970,33
216,Timo Baumgartl,de GER,DF,Stuttgart,de Bundesliga,22,1996,18,18,1620,18
217,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,30,1988,21,16,1559,17.3
218,Christoph Baumgartner,at AUT,MF,Hoffenheim,de Bundesliga,18,1999,2,1,85,0.9
219,Jon Bautista,es ESP,FW,Real Sociedad,es La Liga,23,1995,18,4,597,6.6
220,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,30,1988,1,0,74,0.8
221,Paul Baysse,fr FRA,DF,Caen,fr Ligue 1,30,1988,20,20,1788,19.9
222,Noah Joel Sarenren Bazee,ng NGA,FWMF,Hannover 96,de Bundesliga,21,1996,3,3,155,1.7
223,Claudio Beauvue,gp GLP,FWMF,Caen,fr Ligue 1,30,1988,25,16,1499,16.7
224,Bebé,cv CPV,FWMF,Rayo Vallecano,es La Liga,28,1990,27,13,1302,14.5
225,Bebé,cv CPV,MF,Eibar,es La Liga,28,1990,2,1,62,0.7
226,Ihlas Bebou,tg TOG,MFFW,Hannover 96,de Bundesliga,24,1994,12,12,1066,11.8
227,Uffe Bech,dk DEN,FW,Hannover 96,de Bundesliga,25,1993,2,0,19,0.2
228,Andreas Beck,de GER,DF,Stuttgart,de Bundesliga,31,1987,24,21,1776,19.7
229,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,22,1996,25,24,2151,23.9
230,Andrea Beghetto,it ITA,DF,Frosinone,it Serie A,23,1994,27,25,2226,24.7
231,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24,24,2160,24
232,Valon Behrami,ch SUI,MF,Udinese,it Serie A,33,1985,19,17,1361,15.1
233,Hanno Behrens,de GER,MF,Nürnberg,de Bundesliga,28,1990,30,30,2639,29.3
234,Ishak Belfodil,dz ALG,FWMF,Hoffenheim,de Bundesliga,26,1992,28,20,1863,20.7
235,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,26,1991,25,25,2250,25
236,Karim Bellarabi,de GER,FW,Leverkusen,de Bundesliga,28,1990,19,14,1057,11.7
237,Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,23,1995,19,18,1533,17
238,Andrea Belotti,it ITA,FW,Torino,it Serie A,24,1993,37,37,3299,36.7
239,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,19,1999,30,16,1517,16.9
240,Hatem Ben Arfa,fr FRA,FWMF,Rennes,fr Ligue 1,31,1987,26,23,2033,22.6
241,Wissam Ben Yedder,fr FRA,FW,Sevilla,es La Liga,27,1990,35,31,2812,31.2
242,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,23,22,2058,22.9
243,Marco Benassi,it ITA,MF,Fiorentina,it Serie A,23,1994,32,29,2282,25.4
244,Medhi Benatia,ma MAR,DF,Juventus,it Serie A,31,1987,5,5,450,5
245,Lars Bender,de GER,MFDF,Leverkusen,de Bundesliga,29,1989,20,18,1361,15.1
246,Sven Bender,de GER,DF,Leverkusen,de Bundesliga,29,1989,27,25,1991,22.1
247,László Bénes,sk SVK,MFFW,M'Gladbach,de Bundesliga,20,1997,1,0,27,0.3
248,Nicolas Benezet,fr FRA,MFFW,Guingamp,fr Ligue 1,27,1991,25,18,1666,18.5
249,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35,35,3150,35
250,Ismaël Bennacer,dz ALG,MF,Empoli,it Serie A,20,1997,37,32,2961,32.9
251,Joe Bennett,eng ENG,DF,Cardiff City,eng Premier League,28,1990,30,30,2639,29.3
252,Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,28,1990,34,34,3060,34
253,Yassine Benrahou,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,1999,4,1,177,2
254,Ramy Bensebaini,dz ALG,DF,Rennes,fr Ligue 1,23,1995,25,24,2152,23.9
255,Nabil Bentaleb,dz ALG,MF,Schalke 04,de Bundesliga,23,1994,25,19,1792,19.9
256,Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,21,1997,31,21,2003,22.3
257,Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,27,1990,16,9,814,9
258,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,30,1987,36,35,2953,32.8
259,Yassine Benzia,dz ALG,MF,Lille,fr Ligue 1,23,1994,2,2,160,1.8
260,Domenico Berardi,it ITA,FWMF,Sassuolo,it Serie A,23,1994,35,32,2875,31.9
261,Yuri Berchiche,es ESP,DFFW,Athletic Club,es La Liga,28,1990,35,35,3120,34.7
262,Álex Berenguer,es ESP,MFDF,Torino,it Serie A,23,1995,31,15,1486,16.5
263,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,26,1992,27,24,2200,24.4
264,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,27,1990,29,19,1752,19.5
265,Markel Bergara,es ESP,MF,Getafe,es La Liga,32,1986,3,0,53,0.6
266,Robert Berić,si SVN,FW,Saint-Étienne,fr Ligue 1,27,1991,23,12,1175,13.1
267,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18,18,1620,18
268,Valon Berisha,xk KVX,MFFW,Lazio,it Serie A,25,1993,8,1,198,2.2
269,Bernard,br BRA,FWMF,Everton,eng Premier League,25,1992,34,25,2116,23.5
270,Federico Bernardeschi,it ITA,MFFW,Juventus,it Serie A,24,1994,28,14,1473,16.4
271,Bernardo,br BRA,DF,Brighton,eng Premier League,23,1995,22,19,1752,19.5
272,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38,38,3420,38
273,Juan Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,25,1993,25,21,1836,20.4
274,Antoine Bernede,fr FRA,MF,Paris S-G,fr Ligue 1,19,1999,2,2,169,1.9
275,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1,1,90,1
276,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,28,1989,24,24,2160,24
277,Daniel Bessa,it ITA,MF,Genoa,it Serie A,25,1993,34,25,2441,27.1
278,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7,7,630,7
279,Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,18,2000,9,8,720,8
280,Jonathan Biabiany,fr FRA,FW,Parma,it Serie A,30,1988,18,12,1069,11.9
281,Giulian Biancone,fr FRA,DF,Monaco,fr Ligue 1,18,2000,1,1,90,1
282,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,28,1990,25,20,1790,19.9
283,Pedro Bigas,es ESP,DF,Eibar,es La Liga,27,1990,10,7,585,6.5
284,Lucas Biglia,ar ARG,MF,Milan,it Serie A,32,1986,16,13,1114,12.4
285,Philip Billing,dk DEN,MF,Huddersfield,eng Premier League,22,1996,27,25,2188,24.3
286,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,25,1992,36,36,3194,35.5
