Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,0,13,2,15.4,0.41,0.06,0,0,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0,29,7,24.1,0.88,0.21,0,0,24.2,0,0,0,2.1,2.1,0.07,-2.1,-2.1,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0,18,4,22.2,2.23,0.5,0,0,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,2,0,0,1.75,0,0,,9.5,0,0,0,0.6,0.6,0.28,-0.6,-0.6,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,17,92,35,38,2.68,1.02,0.15,0.4,12.9,3,3,3,19.2,16.8,0.18,-2.2,-2.8,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0,2,0,0,0.32,0,0,,9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.2,2.2,0.15,+1.8,+1.8,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,10,2,20,3.47,0.69,0,0,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,7,49,24,49,2.16,1.06,0.14,0.29,13.3,0,0,0,7.7,7.7,0.16,-0.7,-0.7,Matches,f2bf1b0f
