Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
73,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,39,28,18,18,3,17,5,12,30,69,70,0
74,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,1,0,1,0,0,0,0,0,0,1,1,0
75,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,24,14,15,8,1,21,16,5,45,69,97,0
76,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,30,19,13,13,4,10,3,7,11,41,10,2
77,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,10,4,4,5,1,2,1,1,10,20,10,0
78,Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9,16,8,10,6,0,4,2,2,14,30,26,0
79,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0,0,0,0,0,1,0,1,0,0,0,0
80,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,26,13,19,7,0,30,22,8,21,47,93,4
81,Amath,sn SEN,FWMF,Mallorca,es La Liga,25,1996,9.8,21,11,11,6,4,12,0,12,7,28,7,0
82,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,16,10,8,7,1,3,1,2,15,31,7,0
83,Jordan Amavi,fr FRA,DFFW,Marseille,fr Ligue 1,27,1994,1.4,6,5,3,1,2,1,0,1,1,7,3,0
84,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,3,2,1,1,1,2,0,2,3,6,1,0
85,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,66,42,43,18,5,39,21,18,32,98,75,0
86,Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,24,1996,7.6,6,4,2,2,2,7,0,7,0,6,0,0
87,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4.1,8,4,3,2,3,4,2,2,5,13,0,0
88,Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25.4,67,43,37,27,3,49,19,30,51,118,76,0
89,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,24,13,9,13,2,25,8,17,5,29,6,1
90,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,30,23,21,9,0,29,19,10,37,67,125,3
91,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,71,45,30,33,8,65,6,59,20,91,16,0
92,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14,11,7,0,3,8,8,0,8,3,14,14,0
93,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2,1,1,1,0,0,2,0,2,0,1,1,0
94,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,27,16,18,8,1,16,7,9,19,46,44,0
95,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,123,69,49,65,9,49,11,38,50,173,56,0
96,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,12,10,7,4,1,6,2,4,6,18,8,0
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,33,17,18,14,1,19,7,12,31,64,46,0
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12,20,13,9,9,2,6,1,5,10,30,21,0
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,28,21,14,13,1,24,3,21,29,57,40,0
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,1,1,1,0,0,0,0,0,1,2,1,0
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,20,9,11,7,2,9,1,8,6,26,10,0
102,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,18,11,6,6,6,7,1,6,4,22,6,0
