Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Amine Bassi,fr FRA,MFFW,Metz,fr Ligue 1,23,1997,2.0,0,4,1,25.0,1.96,0.49,0.00,0.00,26.5,0,0,0
Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,2.2,0,0,0,,0.00,0.00,,,,0,0,0
Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,25.7,1,9,2,22.2,0.35,0.08,0.11,0.50,20.5,0,0,0
Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25.4,3,28,6,21.4,1.10,0.24,0.11,0.50,24.1,0,0,0
Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,1.6,0,1,0,0.0,0.62,0.00,0.00,,28.9,0,0,0
Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,13.1,0,5,1,20.0,0.38,0.08,0.00,0.00,21.2,0,0,0
Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,18.8,0,5,1,20.0,0.27,0.05,0.00,0.00,12.6,0,0,0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,0,0,0,,0.00,0.00,,,,0,0,0
Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24.1,1,13,5,38.5,0.54,0.21,0.08,0.20,9.9,0,0,0
Julian Baumgartlinger,at AUT,MFFW,Leverkusen,de Bundesliga,33,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0
Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21.0,7,42,17,40.5,2.00,0.81,0.17,0.41,13.5,0,0,0
Jon Bautista,es ESP,MF,Real Sociedad,es La Liga,26,1995,0.5,0,1,0,0.0,2.00,0.00,0.00,,16.2,0,0,0
Paul Baysse,fr FRA,MFDF,Bordeaux,fr Ligue 1,33,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,2.7,1,7,3,42.9,2.61,1.12,0.14,0.33,14.2,0,0,0
Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,31,1990,9.6,1,50,8,16.0,5.19,0.83,0.02,0.13,26.7,10,0,0
Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23.2,7,46,14,30.4,1.98,0.60,0.15,0.50,11.8,0,0,0
Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,34.8,2,19,5,26.3,0.55,0.14,0.11,0.40,13.5,0,0,0
Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,9.3,0,2,0,0.0,0.22,0.00,0.00,,12.8,0,0,0
Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,19.5,4,37,18,48.6,1.89,0.92,0.11,0.22,20.1,1,0,0
Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,8.9,0,0,0
Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,9.0,0,0,0
Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,5.4,1,5,1,20.0,0.93,0.19,0.20,1.00,20.5,0,0,0
Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0
Valon Behrami,ch SUI,MFFW,Genoa,it Serie A,36,1985,3.5,0,1,0,0.0,0.29,0.00,0.00,,13.3,0,0,0
Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,5.5,2,16,7,43.8,2.89,1.26,0.13,0.29,11.5,0,0,0
Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9.2,3,16,6,37.5,1.75,0.65,0.19,0.50,15.9,2,0,1
Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,21.5,0,0,0,,0.00,0.00,,,,0,0,0
Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18.2,5,31,17,54.8,1.71,0.94,0.13,0.24,13.1,0,1,1
Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,25.7,0,4,1,25.0,0.16,0.04,0.00,0.00,24.3,0,0,0
Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,31.8,2,22,5,22.7,0.69,0.16,0.09,0.40,10.2,0,0,0
Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,19.6,0,10,3,30.0,0.51,0.15,0.00,0.00,15.6,0,0,0
Raoul Bellanova,it ITA,DFFW,Cagliari,it Serie A,21,2000,27.7,1,23,5,21.7,0.83,0.18,0.04,0.20,15.3,0,0,0
Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,31,1990,7.6,3,28,11,39.3,3.69,1.45,0.11,0.27,17.4,0,0,0
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,23,1998,25.9,2,31,7,22.6,1.20,0.27,0.06,0.29,20.8,2,0,0
Héctor Bellerín,es ESP,DF,Betis,es La Liga,26,1995,22.0,0,10,2,20.0,0.45,0.09,0.00,0.00,21.0,0,0,0
Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,18,2003,31.0,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0
George Bello,us USA,DF,Arminia,de Bundesliga,19,2002,4.8,0,3,0,0.0,0.62,0.00,0.00,,24.6,0,0,0
Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Andrea Belotti,it ITA,FW,Torino,it Serie A,27,1993,15.2,8,55,17,30.9,3.61,1.12,0.09,0.29,15.5,3,3,3
Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,22,1999,28.9,1,20,4,20.0,0.69,0.14,0.05,0.25,29.2,0,0,0
Hatem Ben Arfa,fr FRA,FWMF,Lille,fr Ligue 1,34,1987,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,16.6,1,0,0
Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0
