Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Karol Linetty,pl POL,MFFW,Torino,it Serie A,26,1995,10.0,0,13,2,15.4,1.31,0.20,0.00,0.00,19.6,0,0,0
Jesse Lingard,eng ENG,FWMF,Manchester Utd,eng Premier League,28,1992,4.1,2,8,6,75.0,1.96,1.47,0.25,0.33,18.6,0,0,0
Pol Lirola,es ESP,DFFW,Marseille,fr Ligue 1,23,1997,19.7,1,13,2,15.4,0.66,0.10,0.08,0.50,20.9,0,0,0
Valentino Livramento,eng ENG,DF,Southampton,eng Premier League,18,2002,24.5,1,12,3,25.0,0.49,0.12,0.08,0.33,15.9,0,0,0
Dejan Ljubicic,at AUT,MFFW,Köln,de Bundesliga,23,1997,21.9,3,29,7,24.1,1.33,0.32,0.10,0.43,20.1,0,0,0
Javier Llabrés,,FWMF,Mallorca,es La Liga,,,1.5,0,5,2,40.0,3.41,1.36,0.00,0.00,24.4,0,0,0
Diego Llorente,es ESP,DF,Leeds United,eng Premier League,27,1993,26.0,3,10,3,30.0,0.38,0.12,0.30,1.00,10.6,0,0,0
Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,26,1995,27.2,0,16,2,12.5,0.59,0.07,0.00,0.00,20.9,0,0,0
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38.0,0,0,0,,0.00,0.00,,,,0,0,0
Giovani Lo Celso,ar ARG,MFFW,Tottenham,eng Premier League,25,1996,2.6,0,9,0,0.0,3.40,0.00,0.00,,19.4,1,0,0
Giovani Lo Celso,ar ARG,FWMF,Villarreal,es La Liga,25,1996,11.0,1,18,6,33.3,1.63,0.54,0.06,0.17,18.2,1,0,0
Julen Lobete,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,3.2,2,10,2,20.0,3.17,0.63,0.20,1.00,13.7,0,0,0
Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,26,1994,18.7,1,2,1,50.0,0.11,0.05,0.50,1.00,25.5,0,0,0
Jürgen Locadia,nl NED,MFFW,Brighton,eng Premier League,27,1993,0.3,0,1,0,0.0,3.91,0.00,0.00,,20.2,0,0,0
Jürgen Locadia,nl NED,FWMF,Bochum,de Bundesliga,27,1993,4.9,2,17,7,41.2,3.45,1.42,0.06,0.14,19.8,0,1,1
Manuel Locatelli,it ITA,MF,Juventus,it Serie A,23,1998,24.0,3,21,3,14.3,0.87,0.12,0.14,1.00,19.0,0,0,0
Banzouzi Locko,fr FRA,MFDF,Reims,fr Ligue 1,19,2002,11.2,1,7,2,28.6,0.62,0.18,0.14,0.50,24.1,0,0,0
Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,23,1998,13.1,2,10,4,40.0,0.76,0.30,0.20,0.50,17.1,0,0,0
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,25,1996,15.5,0,19,6,31.6,1.23,0.39,0.00,0.00,18.6,0,0,0
Kevin Long,ie IRL,DF,Burnley,eng Premier League,30,1990,4.6,0,4,0,0.0,0.88,0.00,0.00,,13.3,0,0,0
Shane Long,ie IRL,FW,Southampton,eng Premier League,34,1987,3.4,1,9,5,55.6,2.63,1.46,0.11,0.20,11.3,0,0,0
Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23,1997,16.3,1,15,2,13.3,0.92,0.12,0.07,0.50,26.0,1,0,0
Ademola Lookman,ng NGA,FWMF,Leicester City,eng Premier League,23,1997,16.1,6,26,12,46.2,1.61,0.74,0.23,0.50,15.0,0,0,0
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,33.1,0,0,0,,0.00,0.00,,,,0,0,0
David López,es ESP,MFDF,Espanyol,es La Liga,31,1989,8.3,0,5,4,80.0,0.61,0.48,0.00,0.00,13.6,0,0,0
Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,35.3,0,0,0,,0.00,0.00,,,,0,0,0
Javi López,es ESP,DF,Alavés,es La Liga,19,2002,5.1,0,0,0,,0.00,0.00,,,,0,0,0
Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,23,1997,32.6,2,16,6,37.5,0.49,0.18,0.13,0.33,22.6,0,0,0
Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29.0,0,0,0,,0.00,0.00,,,,0,0,0
Unai López,es ESP,MF,Rayo Vallecano,es La Liga,25,1995,12.9,0,19,7,36.8,1.47,0.54,0.00,0.00,24.6,4,0,0
Dion Lopy,sn SEN,MF,Reims,fr Ligue 1,19,2002,18.2,0,16,2,12.5,0.88,0.11,0.00,0.00,23.8,0,0,0
Samuel Loric,fr FRA,DF,Lorient,fr Ligue 1,21,2000,3.0,0,1,0,0.0,0.33,0.00,0.00,,16.7,0,0,0
Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,35,1986,32.6,2,34,9,26.5,1.04,0.28,0.06,0.22,19.3,0,0,0
Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,0
Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,9.8,0,0,0,,0.00,0.00,,,,0,0,0
Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,22,1998,19.8,0,9,2,22.2,0.45,0.10,0.00,0.00,17.1,0,0,0
Johaneko Louisjean,fr FRA,DF,Bordeaux,fr Ligue 1,17,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Mamadou Loum,sn SEN,MF,Alavés,es La Liga,24,1996,25.7,2,33,8,24.2,1.28,0.31,0.06,0.25,21.3,0,0,0
Imran Louza,ma MAR,MF,Watford,eng Premier League,22,1999,15.7,0,17,4,23.5,1.08,0.25,0.00,0.00,27.5,6,0,0
Matteo Lovato,it ITA,DF,Atalanta,it Serie A,21,2000,3.4,0,1,0,0.0,0.30,0.00,0.00,,6.7,0,0,0
Matteo Lovato,it ITA,DF,Cagliari,it Serie A,21,2000,13.8,0,6,1,16.7,0.44,0.07,0.00,0.00,14.4,0,0,0
Eduard Löwen,de GER,MF,Bochum,de Bundesliga,24,1997,15.7,2,37,13,35.1,2.35,0.83,0.03,0.08,24.7,9,1,1
Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,32,1989,19.7,1,10,2,20.0,0.51,0.10,0.10,0.50,21.6,0,0,0
Anthony Lozano,hn HON,FWMF,Cádiz,es La Liga,28,1993,18.6,7,49,20,40.8,2.64,1.08,0.14,0.35,14.5,0,0,0
Hirving Lozano,mx MEX,FW,Napoli,it Serie A,26,1995,17.9,5,50,19,38.0,2.79,1.06,0.10,0.26,16.9,0,0,0
Jean Lucas,br BRA,MF,Monaco,fr Ligue 1,23,1998,16.1,1,26,9,34.6,1.62,0.56,0.04,0.11,21.0,1,0,0
Anderson Lucoqui,ao ANG,DF,Mainz 05,de Bundesliga,24,1997,8.3,1,8,4,50.0,0.97,0.48,0.13,0.25,18.7,0,0,0
Florentino Luís,pt POR,MF,Getafe,es La Liga,21,1999,11.0,0,3,1,33.3,0.27,0.09,0.00,0.00,26.9,0,0,0
José Luis Gayà,es ESP,DF,Valencia,es La Liga,26,1995,20.8,2,18,9,50.0,0.87,0.43,0.11,0.22,20.3,1,0,0
José Luis Morales,es ESP,FWMF,Levante,es La Liga,34,1987,30.2,13,76,31,40.8,2.52,1.03,0.13,0.32,18.9,2,3,5
José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,31,1990,29.7,1,14,3,21.4,0.47,0.10,0.07,0.33,8.5,0,0,0
Luismi,es ESP,FWMF,Sevilla,es La Liga,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,23,1998,30.2,2,23,8,34.8,0.76,0.27,0.09,0.25,25.3,8,0,0
Romelu Lukaku,be BEL,FW,Chelsea,eng Premier League,28,1993,17.7,8,42,14,33.3,2.38,0.79,0.17,0.50,13.8,1,1,1
Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,18,2002,23.3,2,6,3,50.0,0.26,0.13,0.33,0.67,8.3,0,0,0
Dodi Lukebakio,be BEL,FW,Hertha BSC,de Bundesliga,23,1997,2.0,1,3,1,33.3,1.53,0.51,0.00,0.00,25.6,0,1,1
Dodi Lukebakio,be BEL,FWMF,Wolfsburg,de Bundesliga,23,1997,9.8,1,17,7,41.2,1.73,0.71,0.06,0.14,15.4,0,0,0
Saša Lukić,rs SRB,MF,Torino,it Serie A,24,1996,33.1,5,29,7,24.1,0.88,0.21,0.07,0.29,24.7,4,3,3
Levi Lumeka,eng ENG,MFFW,Troyes,fr Ligue 1,22,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0
Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0
Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0
Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,24,1996,21.8,0,9,3,33.3,0.41,0.14,0.00,0.00,14.8,0,0,0
Andreas Luthe,de GER,GK,Union Berlin,de Bundesliga,34,1987,27.0,0,0,0,,0.00,0.00,,,,0,0,0
Lyanco,br BRA,DF,Southampton,eng Premier League,24,1997,10.1,0,6,1,16.7,0.59,0.10,0.00,0.00,16.9,0,0,0
Charalambos Lykogiannis,gr GRE,DFFW,Cagliari,it Serie A,27,1993,20.2,1,22,7,31.8,1.09,0.35,0.05,0.14,22.9,6,0,0
Yannis M'Bemba,fr FRA,DFFW,Nantes,fr Ligue 1,20,2001,0.1,0,2,1,50.0,36.00,18.00,0.00,0.00,10.0,0,0,0
Alexis Mac Allister,ar ARG,MFFW,Brighton,eng Premier League,22,1998,23.6,5,57,9,15.8,2.42,0.38,0.05,0.33,22.0,4,2,3
Deiver Machado,co COL,DFMF,Lens,fr Ligue 1,27,1993,5.8,0,2,0,0.0,0.34,0.00,0.00,,22.3,0,0,0
Darwin Machís,ve VEN,MFFW,Granada,es La Liga,28,1993,15.3,4,37,17,45.9,2.42,1.11,0.11,0.24,21.9,1,0,0
Yvann Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1998,17.0,0,15,4,26.7,0.88,0.24,0.00,0.00,26.5,0,0,0
James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24,1996,27.3,12,72,33,45.8,2.64,1.21,0.17,0.36,20.7,13,0,0
Niki Mäenpää,fi FIN,GK,Venezia,it Serie A,36,1985,16.5,0,0,0,,0.00,0.00,,,,0,0,0
Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,24,1997,32.7,1,29,7,24.1,0.89,0.21,0.03,0.14,20.0,0,0,0
Louis Mafouta,cf CTA,FW,Metz,fr Ligue 1,27,1994,5.8,2,9,7,77.8,1.54,1.20,0.22,0.29,15.7,0,0,0
Giulio Maggiore,it ITA,MF,Spezia,it Serie A,23,1998,31.3,2,42,8,19.0,1.34,0.26,0.05,0.25,20.9,0,0,0
Matej Maglica,hr CRO,MF,Stuttgart,de Bundesliga,22,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,36,1984,3.0,0,2,0,0.0,0.66,0.00,0.00,,28.9,0,0,0
Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,25,1995,5.9,0,5,1,20.0,0.85,0.17,0.00,0.00,7.8,0,0,0
Giangiacomo Magnani,it ITA,DF,Sampdoria,it Serie A,25,1995,2.7,0,0,0,,0.00,0.00,,,,0,0,0
Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,23,1998,16.3,0,17,2,11.8,1.05,0.12,0.00,0.00,24.4,0,0,0
Yohann Magnin,fr FRA,MFDF,Clermont Foot,fr Ligue 1,24,1997,19.1,1,19,3,15.8,1.00,0.16,0.05,0.33,14.7,0,0,0
Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28,1993,27.9,1,23,10,43.5,0.82,0.36,0.04,0.10,12.8,0,0,0
Riyad Mahrez,dz ALG,FW,Manchester City,eng Premier League,30,1991,16.6,11,56,18,32.1,3.36,1.08,0.13,0.39,17.9,6,4,5
Arne Maier,de GER,MF,Augsburg,de Bundesliga,22,1999,20.7,1,17,8,47.1,0.82,0.39,0.06,0.13,21.1,1,0,0
Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,25,1996,14.1,2,11,5,45.5,0.78,0.36,0.18,0.40,20.4,0,0,0
Mike Maignan,fr FRA,GK,Milan,it Serie A,26,1995,32.0,0,0,0,,0.00,0.00,,,,0,0,0
Ainsley Maitland-Niles,eng ENG,MF,Arsenal,eng Premier League,23,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,30.3,0,0,0
Ainsley Maitland-Niles,eng ENG,DF,Roma,it Serie A,23,1997,5.4,0,3,2,66.7,0.55,0.37,0.00,0.00,18.5,0,0,0
Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,22,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Abdul Majeed Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,29,1991,3.6,2,7,3,42.9,1.93,0.83,0.29,0.67,17.8,0,0,0
Lovro Majer,hr CRO,MFFW,Rennes,fr Ligue 1,23,1998,20.4,6,45,18,40.0,2.21,0.88,0.13,0.33,19.9,4,0,0
Jean-Victor Makengo,fr FRA,MF,Udinese,it Serie A,23,1998,26.1,1,32,10,31.3,1.23,0.38,0.03,0.10,21.2,0,0,0
Béni Makouana,cg CGO,FWMF,Montpellier,fr Ligue 1,18,2002,3.6,0,7,0,0.0,1.96,0.00,0.00,,15.0,0,0,0
Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,26,1995,32.6,1,31,5,16.1,0.95,0.15,0.03,0.20,15.9,0,0,0
Nikola Maksimović,rs SRB,DF,Genoa,it Serie A,29,1991,12.4,0,3,0,0.0,0.24,0.00,0.00,,8.1,0,0,0
Kévin Malcuit,ma MAR,DFMF,Napoli,it Serie A,30,1991,3.2,0,1,0,0.0,0.31,0.00,0.00,,16.4,0,0,0
Daniel Maldini,it ITA,MF,Milan,it Serie A,19,2001,1.6,1,3,1,33.3,1.82,0.61,0.33,1.00,13.4,0,0,0
Youssef Maleh,it ITA,MF,Fiorentina,it Serie A,22,1998,11.3,2,21,5,23.8,1.85,0.44,0.10,0.40,18.5,0,0,0
Donyell Malen,nl NED,FW,Dortmund,de Bundesliga,22,1999,18.7,5,47,21,44.7,2.51,1.12,0.11,0.24,16.5,0,0,0
Ruslan Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,28,1993,17.7,6,57,17,29.8,3.22,0.96,0.11,0.35,22.0,7,0,0
Hugo Mallo,es ESP,DF,Celta Vigo,es La Liga,30,1991,20.3,1,17,2,11.8,0.84,0.10,0.06,0.50,17.9,0,0,0
Lennard Maloney,us USA,DF,Dortmund,de Bundesliga,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Mickael Malsa,mq MTQ,MF,Levante,es La Liga,25,1995,12.7,1,13,2,15.4,1.02,0.16,0.08,0.50,22.8,0,0,0
Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,20,2000,18.0,0,0,0,,0.00,0.00,,,,0,0,0
Rey Manaj,al ALB,FW,Spezia,it Serie A,24,1997,19.6,5,51,14,27.5,2.60,0.71,0.06,0.21,18.4,6,2,3
Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,21,1999,8.9,0,9,0,0.0,1.01,0.00,0.00,,25.0,3,0,0
Vincent Manceau,fr FRA,DF,Angers,fr Ligue 1,32,1989,26.2,0,3,0,0.0,0.11,0.00,0.00,,25.4,0,0,0
Gianluca Mancini,it ITA,DF,Roma,it Serie A,25,1996,32.0,0,24,6,25.0,0.75,0.19,0.00,0.00,11.2,0,0,0
Leonardo Mancuso,it ITA,FW,Empoli,it Serie A,29,1992,4.7,1,12,5,41.7,2.54,1.06,0.08,0.20,14.3,0,0,0
Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36,1985,9.0,0,0,0,,0.00,0.00,,,,0,0,0
Reinildo Mandava,mz MOZ,DF,Atlético Madrid,es La Liga,27,1994,14.4,0,2,0,0.0,0.14,0.00,0.00,,8.7,0,0,0
Reinildo Mandava,mz MOZ,DF,Lille,fr Ligue 1,27,1994,16.9,1,6,3,50.0,0.35,0.18,0.17,0.33,14.8,0,0,0
Aïssa Mandi,dz ALG,DF,Villarreal,es La Liga,29,1991,15.3,1,10,3,30.0,0.65,0.20,0.10,0.33,10.1,0,0,0
Rolando Mandragora,it ITA,MF,Torino,it Serie A,24,1997,14.7,0,23,5,21.7,1.57,0.34,0.00,0.00,24.5,3,0,0
Anthony Mandrea,dz ALG,GK,Angers,fr Ligue 1,24,1996,10.0,0,0,0,,0.00,0.00,,,,0,0,0
Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,29,1992,31.3,16,98,37,37.8,3.13,1.18,0.16,0.43,14.2,0,0,0
Eliaquim Mangala,fr FRA,DF,Saint-Étienne,fr Ligue 1,30,1991,13.1,1,3,1,33.3,0.23,0.08,0.33,1.00,9.9,0,0,0
Orel Mangala,be BEL,MF,Stuttgart,de Bundesliga,23,1998,20.6,1,17,8,47.1,0.83,0.39,0.06,0.13,16.9,0,0,0
Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,34,1987,24.4,7,12,3,25.0,0.49,0.12,0.08,0.33,27.1,2,6,6
Ricardo Mangas,pt POR,DF,Bordeaux,fr Ligue 1,23,1998,26.1,3,17,5,29.4,0.65,0.19,0.18,0.60,13.1,0,0,0
Kostas Manolas,gr GRE,DF,Napoli,it Serie A,30,1991,3.5,0,0,0,,0.00,0.00,,,,0,0,0
Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,27,1994,14.0,1,4,2,50.0,0.29,0.14,0.25,0.50,15.2,0,0,0
Myziane Maolida,fr FRA,MF,Nice,fr Ligue 1,22,1999,0.4,0,1,0,0.0,2.65,0.00,0.00,,24.1,0,0,0
Myziane Maolida,fr FRA,FWMF,Hertha BSC,de Bundesliga,22,1999,8.6,1,14,3,21.4,1.62,0.35,0.07,0.33,19.5,0,0,0
Sekou Mara,fr FRA,FWMF,Bordeaux,fr Ligue 1,19,2002,10.1,6,37,16,43.2,3.68,1.59,0.14,0.31,18.5,0,1,1
Maranhão,br BRA,FWMF,Valencia,es La Liga,24,1996,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,14.8,0,0,0
Nikola Maraš,rs SRB,DF,Rayo Vallecano,es La Liga,25,1995,11.6,0,1,0,0.0,0.09,0.00,0.00,,17.0,0,0,0
Fernando Marçal,br BRA,MFDF,Wolves,eng Premier League,32,1989,16.1,0,11,1,9.1,0.68,0.06,0.00,0.00,23.3,0,0,0
Marcelo,br BRA,DF,Real Madrid,es La Liga,33,1988,5.8,0,8,3,37.5,1.37,0.51,0.00,0.00,20.8,0,0,0
Marcelo,br BRA,DF,Bordeaux,fr Ligue 1,34,1987,10.0,0,3,0,0.0,0.30,0.00,0.00,,10.1,0,0,0
Marcelo,br BRA,DF,Lyon,fr Ligue 1,34,1987,2.0,0,2,0,0.0,1.00,0.00,0.00,,15.3,0,0,0
Solly March,eng ENG,DFFW,Brighton,eng Premier League,27,1994,19.4,0,20,10,50.0,1.03,0.52,0.00,0.00,18.3,2,0,0
Riccardo Marchizza,it ITA,DF,Empoli,it Serie A,23,1998,15.0,0,8,1,12.5,0.53,0.07,0.00,0.00,21.2,1,0,0
Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,29,1992,34.7,1,25,10,40.0,0.72,0.29,0.04,0.10,12.0,0,0,0
Iván Marcone,ar ARG,MF,Elche,es La Liga,31,1990,9.0,0,2,0,0.0,0.22,0.00,0.00,,19.7,0,0,0
Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,32,1989,18.7,1,3,3,100.0,0.16,0.16,0.33,0.33,16.2,0,0,0
Davide Marfella,it ITA,GK,Napoli,it Serie A,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0
José Mari,es ESP,MF,Cádiz,es La Liga,33,1987,4.3,0,4,1,25.0,0.93,0.23,0.00,0.00,14.2,0,0,0
Pablo Marí,es ESP,DF,Arsenal,eng Premier League,27,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,5.8,0,0,0
Pablo Marí,es ESP,DF,Udinese,it Serie A,27,1993,14.9,2,10,5,50.0,0.67,0.34,0.20,0.40,11.5,0,0,0
José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,26,1995,22.7,1,20,7,35.0,0.88,0.31,0.05,0.14,13.5,0,0,0
Mariano,do DOM,FW,Real Madrid,es La Liga,27,1993,3.8,1,14,3,21.4,3.68,0.79,0.07,0.33,13.0,0,0,0
Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,25,1996,31.3,0,41,7,17.1,1.31,0.22,0.00,0.00,24.8,9,0,0
Guillermo Maripán,cl CHI,DF,Monaco,fr Ligue 1,27,1994,20.4,0,7,2,28.6,0.34,0.10,0.00,0.00,10.6,0,0,0
Mika Màrmol,es ESP,DF,Barcelona,es La Liga,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0
Omar Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,22,1999,0.3,0,1,0,0.0,3.75,0.00,0.00,,34.3,0,0,0
Omar Marmoush,eg EGY,FW,Stuttgart,de Bundesliga,22,1999,17.5,3,48,13,27.1,2.75,0.74,0.06,0.23,19.4,3,0,1
Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,27,1994,31.8,5,21,7,33.3,0.66,0.22,0.24,0.71,10.1,0,0,0
Roger Martí,es ESP,FW,Levante,es La Liga,30,1991,23.5,7,46,17,37.0,1.96,0.72,0.13,0.35,17.0,0,1,3
Anthony Martial,fr FRA,FW,Manchester Utd,eng Premier League,25,1995,2.4,1,5,2,40.0,2.12,0.85,0.20,0.50,13.0,0,0,0
Anthony Martial,fr FRA,FWMF,Sevilla,es La Liga,25,1995,5.4,0,7,3,42.9,1.29,0.55,0.00,0.00,21.8,1,0,0
Martín,es ESP,MF,Cádiz,es La Liga,22,1999,1.3,0,2,0,0.0,1.57,0.00,0.00,,30.0,1,0,0
Aarón Martín,es ESP,DF,Mainz 05,de Bundesliga,24,1997,25.5,1,18,5,27.8,0.71,0.20,0.06,0.20,21.5,5,0,0
Ander Martin,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,1.0,0,3,2,66.7,3.07,2.05,0.00,0.00,25.7,0,0,0
Andrés Martín,es ESP,FWMF,Rayo Vallecano,es La Liga,22,1999,2.1,0,5,1,20.0,2.42,0.48,0.00,0.00,17.9,0,0,0
Carlos Martín,es ESP,DF,Atlético Madrid,es La Liga,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0
Iván Martín,es ESP,MFFW,Alavés,es La Liga,22,1999,1.8,0,1,0,0.0,0.54,0.00,0.00,,20.8,0,0,0
Jonas Martin,fr FRA,MF,Rennes,fr Ligue 1,31,1990,23.4,1,21,4,19.0,0.90,0.17,0.05,0.25,20.3,0,0,0
Martinelli,br BRA,FWMF,Arsenal,eng Premier League,20,2001,20.7,6,51,15,29.4,2.47,0.73,0.10,0.33,14.7,1,1,1
Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0
Iñigo Martínez,es ESP,DF,Athletic Club,es La Liga,30,1991,26.0,3,27,8,29.6,1.04,0.31,0.11,0.38,13.4,3,0,0
Javi Martínez,es ESP,MFFW,Osasuna,es La Liga,21,1999,9.8,1,9,2,22.2,0.92,0.20,0.11,0.50,16.3,0,0,0
Josep Martinez,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0
Lautaro Martínez,ar ARG,FW,Inter,it Serie A,23,1997,25.4,21,112,47,42.0,4.42,1.85,0.16,0.38,13.8,0,3,6
Pablo Martínez,es ESP,MF,Levante,es La Liga,23,1998,7.3,0,11,1,9.1,1.51,0.14,0.00,0.00,23.8,0,0,0
Lucas Martínez Quarta,ar ARG,DF,Fiorentina,it Serie A,25,1996,15.9,1,16,4,25.0,1.01,0.25,0.06,0.25,12.1,0,0,0
Gelson Martins,pt POR,MFFW,Monaco,fr Ligue 1,26,1995,21.2,4,30,11,36.7,1.42,0.52,0.13,0.36,13.5,0,0,0
Adam Marušić,me MNE,DF,Lazio,it Serie A,28,1992,30.2,1,8,3,37.5,0.26,0.10,0.13,0.33,25.5,0,0,0
Omar Mascarell,es ESP,MF,Elche,es La Liga,28,1993,27.7,0,12,1,8.3,0.43,0.04,0.00,0.00,24.2,0,0,0
Andrea Masiello,it ITA,DF,Genoa,it Serie A,35,1986,5.7,0,2,0,0.0,0.35,0.00,0.00,,18.1,0,0,0
Adam Masina,ma MAR,DF,Watford,eng Premier League,27,1994,12.0,0,5,0,0.0,0.42,0.00,0.00,,13.5,0,0,0
Erhan Mašović,rs SRB,DF,Bochum,de Bundesliga,22,1998,17.2,0,5,0,0.0,0.29,0.00,0.00,,13.2,1,0,0
Roberto Massimo,de GER,DFFW,Stuttgart,de Bundesliga,20,2000,9.7,2,20,11,55.0,2.05,1.13,0.10,0.18,18.5,0,0,0
Arthur Masuaku,cd COD,DFFW,West Ham,eng Premier League,27,1993,7.2,1,4,1,25.0,0.55,0.14,0.25,1.00,26.5,0,0,0
Jaime Mata,es ESP,FW,Getafe,es La Liga,32,1988,7.5,1,10,3,30.0,1.34,0.40,0.10,0.33,15.0,0,0,0
Juan Mata,es ESP,MF,Manchester Utd,eng Premier League,33,1988,2.6,0,5,1,20.0,1.91,0.38,0.00,0.00,16.2,0,0,0
Pape Matar Sarr,sn SEN,MF,Metz,fr Ligue 1,18,2002,23.7,1,31,8,25.8,1.31,0.34,0.03,0.13,29.2,1,0,0
Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,19,2002,8.8,0,4,1,25.0,0.46,0.11,0.00,0.00,28.0,0,0,0
Aleš Matějů,cz CZE,DF,Venezia,it Serie A,25,1996,8.1,0,2,2,100.0,0.25,0.25,0.00,0.00,11.2,0,0,0
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,24,1997,12.7,5,37,18,48.6,2.91,1.41,0.14,0.28,11.2,0,0,0
Nemanja Matić,rs SRB,MF,Manchester Utd,eng Premier League,32,1988,15.4,0,6,1,16.7,0.39,0.07,0.00,0.00,23.5,0,0,0
Joël Matip,cm CMR,DF,Liverpool,eng Premier League,29,1991,31.0,3,35,7,20.0,1.13,0.23,0.09,0.43,9.9,0,0,0
Chrislain Matsima,fr FRA,DF,Monaco,fr Ligue 1,19,2002,1.5,0,1,0,0.0,0.67,0.00,0.00,,9.4,0,0,0
Azor Matusiwa,nl NED,MF,Reims,fr Ligue 1,23,1998,27.4,1,10,5,50.0,0.37,0.18,0.10,0.20,23.7,0,0,0
Neal Maupay,fr FRA,FW,Brighton,eng Premier League,24,1996,25.3,8,59,14,23.7,2.33,0.55,0.12,0.50,16.8,0,1,2
Stephy Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,23,1998,25.5,8,60,23,38.3,2.35,0.90,0.13,0.35,17.1,0,0,0
Konstantinos Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,23,1997,30.1,4,33,11,33.3,1.10,0.37,0.12,0.36,13.9,0,0,0
Eric Maxim Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,32,1989,4.2,4,15,8,53.3,3.58,1.91,0.27,0.50,11.8,0,0,0
