Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Wajdi Kechrida,tn TUN,DFMF,Salernitana,it Serie A,25,1995,11,9,6,6,3,0,8,13,61.5,5,10,2,8,8,17,15,0
Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24,1996,17,21,14,9,11,1,9,21,42.9,12,19,11,8,24,45,29,0
Habib Keita,ml MLI,MFFW,Lyon,fr Ligue 1,19,2002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,26,1995,13,46,23,17,19,10,26,42,61.9,16,33,2,31,14,60,8,0
Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,21,2000,6,11,4,5,4,2,5,15,33.3,10,7,1,6,1,12,8,0
Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,26,1995,12,10,9,9,1,0,5,14,35.7,9,14,7,7,25,35,49,1
Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,26,1995,9,13,8,7,4,2,3,10,30.0,7,16,14,2,16,29,26,2
Kenedy,br BRA,DF,Chelsea,eng Premier League,25,1996,1,5,2,1,2,2,2,3,66.7,1,0,0,0,0,5,0,0
Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,24,1997,11,17,7,11,6,0,13,21,61.9,8,8,1,7,20,37,31,0
Dimitrios Keramitsis,gr GRE,MF,Roma,it Serie A,17,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Franck Kessié,ci CIV,MF,Milan,it Serie A,24,1996,26,41,23,12,24,5,17,26,65.4,9,39,10,29,23,64,22,0
Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,fr Ligue 1,26,1995,10,19,10,5,10,4,9,18,50.0,9,9,0,9,14,33,5,0
Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,30,1991,25,33,18,7,17,9,9,34,26.5,25,21,0,21,12,45,7,0
Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,27,1994,31,75,38,25,42,8,32,66,48.5,34,21,8,13,50,125,27,1
Kike,es ESP,FW,Osasuna,es La Liga,31,1989,21,11,7,3,4,4,3,23,13.0,20,10,1,9,3,14,12,0
Luca Kilian,de GER,FW,Mainz 05,de Bundesliga,21,1999,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Luca Kilian,de GER,DF,Köln,de Bundesliga,21,1999,25,42,24,30,9,3,21,41,51.2,20,31,13,18,46,88,109,3
Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,30,50,26,38,10,2,24,37,64.9,13,36,21,15,45,95,113,3
Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26,1995,28,39,20,14,17,8,18,58,31.0,40,34,8,26,52,91,29,1
Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25,1995,29,34,19,18,15,1,14,23,60.9,9,20,14,6,38,72,73,1
Joshua King,no NOR,FW,Watford,eng Premier League,29,1992,25,19,15,7,6,6,4,17,23.5,13,15,4,11,8,27,31,0
Jakub Kiwior,pl POL,MF,Spezia,it Serie A,21,2000,22,50,27,25,19,6,26,57,45.6,31,38,15,23,40,90,53,0
Sofian Kiyine,ma MAR,MFFW,Venezia,it Serie A,23,1997,14,24,14,9,11,4,12,32,37.5,20,15,1,14,10,34,9,0
Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,9,20,12,9,8,3,6,12,50.0,6,17,13,4,9,29,39,0
Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Philipp Klement,de GER,MF,Stuttgart,de Bundesliga,28,1992,4,7,3,1,4,2,3,3,100.0,0,6,1,5,1,8,0,0
Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,31,1990,23,47,25,18,23,6,25,66,37.9,41,22,4,18,11,58,20,0
Thibault Klidje,tg TOG,MFFW,Bordeaux,fr Ligue 1,20,2001,1,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,0,0
Mateo Klimowicz,de GER,MFFW,Stuttgart,de Bundesliga,21,2000,7,13,6,6,7,0,5,16,31.3,11,2,0,2,4,17,3,0
Fabian Klos,de GER,FW,Arminia,de Bundesliga,33,1987,16,7,5,0,5,2,2,10,20.0,8,17,4,13,0,7,31,0
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25,1996,18,29,16,11,15,3,13,19,68.4,6,16,3,13,26,55,58,0
Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22,1999,21,19,9,6,12,1,5,21,23.8,16,13,1,12,14,33,6,0
Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25,1996,2,1,1,1,0,0,1,5,20.0,4,1,0,1,2,3,2,0
Ansgar Knauff,de GER,FWMF,Dortmund,de Bundesliga,19,2002,1,3,1,1,1,1,0,4,0.0,4,2,0,2,0,3,4,0
Ansgar Knauff,de GER,DFMF,Eint Frankfurt,de Bundesliga,19,2002,8,18,14,8,5,5,8,15,53.3,7,11,1,10,8,26,6,0
Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29,1992,33,50,24,38,12,0,30,53,56.6,23,45,26,19,49,99,151,1
Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,29,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,20,0
Robin Koch,de GER,MFDF,Leeds United,eng Premier League,25,1996,18,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0
Samuel Koeberlé,fr FRA,FW,Reims,fr Ligue 1,16,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,19,2002,4,4,0,0,3,1,0,2,0.0,2,2,1,1,3,7,3,0
Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,27,1994,18,40,20,18,19,3,16,42,38.1,26,21,2,19,35,75,22,0
Koba Koindredi,fr FRA,MF,Valencia,es La Liga,19,2001,2,4,3,2,1,1,2,6,33.3,4,3,0,3,4,8,5,0
Koke,es ESP,MF,Atlético Madrid,es La Liga,29,1992,28,55,30,19,29,7,26,63,41.3,37,21,5,16,24,79,31,1
Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30,1991,1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985,1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0
Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28,1993,1,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0
Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28,1993,5,7,6,2,3,2,5,8,62.5,3,4,0,4,0,7,7,1
Luca Koleosho,ca CAN,FW,Espanyol,es La Liga,16,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Randal Kolo Muani,fr FRA,FWMF,Nantes,fr Ligue 1,22,1998,33,28,14,7,10,11,10,25,40.0,15,14,3,11,6,34,31,0
Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,1991,29,43,24,22,14,7,20,36,55.6,16,29,7,22,60,103,72,1
Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,25,1995,27,35,19,19,15,1,16,30,53.3,14,35,8,27,28,63,45,0
Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22,1999,11,16,10,9,6,1,7,10,70.0,3,13,9,4,16,32,37,1
Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,es La Liga,28,1993,21,74,44,25,40,9,21,49,42.9,28,16,5,11,44,118,24,0
Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22,1999,8,7,4,0,3,4,2,3,66.7,1,8,3,5,1,8,3,0
Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,20,2001,24,68,35,31,34,3,29,46,63.0,17,28,5,23,34,102,14,0
Youssouf Koné,ml MLI,DF,Troyes,fr Ligue 1,26,1995,11,30,18,21,8,1,19,30,63.3,11,8,3,5,10,40,25,0
Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,23,1997,28,25,15,13,11,1,10,13,76.9,3,31,22,9,15,40,86,2
Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,23,1998,24,40,24,10,19,11,22,54,40.7,32,31,2,29,15,55,19,0
Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35,1985,10,14,9,10,3,1,8,13,61.5,5,17,12,5,12,26,39,0
Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,20,2001,20,23,17,16,6,1,15,25,60.0,10,36,14,22,26,49,66,0
Filip Kostić,rs SRB,DFFW,Eint Frankfurt,de Bundesliga,28,1992,28,44,17,26,9,9,20,53,37.7,33,24,1,23,15,59,24,0
Rominigue Kouamé,ml MLI,MF,Troyes,fr Ligue 1,24,1996,33,47,22,24,20,3,19,58,32.8,39,33,5,28,46,93,22,2
Kalidou Koulibaly,sn SEN,DF,Napoli,it Serie A,30,1991,27,39,23,31,6,2,25,38,65.8,13,41,25,16,29,68,90,1
Jules Koundé,fr FRA,DF,Sevilla,es La Liga,22,1998,30,40,17,27,10,3,18,28,64.3,10,33,18,15,21,61,101,2
Christos Kourfalidis,gr GRE,MFFW,Cagliari,it Serie A,18,2002,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Boubakar Kouyaté,ml MLI,DF,Metz,fr Ligue 1,24,1997,30,84,50,56,28,0,48,77,62.3,29,63,33,30,79,163,217,3
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,eng Premier League,31,1989,22,52,38,28,22,2,18,39,46.2,21,40,14,26,38,90,39,0
Mateo Kovačić,hr CRO,MF,Chelsea,eng Premier League,27,1994,17,51,31,14,26,11,17,35,48.6,18,19,4,15,7,58,9,1
Viktor Kovalenko,ua UKR,MF,Spezia,it Serie A,25,1996,15,16,10,7,8,1,9,21,42.9,12,16,3,13,13,29,8,0
Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26,1994,18,37,16,25,11,1,27,36,75.0,9,16,10,6,25,62,56,0
Alex Král,cz CZE,MF,West Ham,eng Premier League,23,1998,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,30,1991,30,8,4,1,5,2,7,17,41.2,10,10,0,10,9,17,7,1
Christoph Kramer,de GER,MF,M'Gladbach,de Bundesliga,30,1991,8,28,11,15,10,3,12,28,42.9,16,18,5,13,12,40,9,0
Jean-Philippe Krasso,ci CIV,FW,Saint-Étienne,fr Ligue 1,24,1997,5,7,5,0,5,2,2,10,20.0,8,7,1,6,0,7,1,0
Julian Kristoffersen,no NOR,FW,Salernitana,it Serie A,24,1997,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Toni Kroos,de GER,MF,Real Madrid,es La Liga,31,1990,23,34,26,13,17,4,14,36,38.9,22,16,3,13,12,46,13,1
Florian Krüger,de GER,FWMF,Arminia,de Bundesliga,22,1999,13,3,1,0,3,0,2,10,20.0,8,12,1,11,2,5,13,0
Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,10,4
Rade Krunić,ba BIH,MFFW,Milan,it Serie A,27,1993,16,33,18,16,14,3,15,31,48.4,16,19,2,17,16,49,17,0
Max Kruse,de GER,MFFW,Wolfsburg,de Bundesliga,33,1988,13,9,3,4,4,1,5,12,41.7,7,2,0,2,3,12,4,0
Max Kruse,de GER,FWMF,Union Berlin,de Bundesliga,33,1988,14,4,1,0,3,1,2,16,12.5,14,12,0,12,3,7,2,0
Lukas Kübler,de GER,DFMF,Freiburg,de Bundesliga,28,1992,26,62,35,38,16,8,28,49,57.1,21,24,8,16,44,106,70,0
Takefusa Kubo,jp JPN,FWMF,Mallorca,es La Liga,20,2001,18,31,19,12,14,5,10,24,41.7,14,24,3,21,8,39,4,0
Juraj Kucka,sk SVK,MF,Watford,eng Premier League,34,1987,21,59,39,32,25,2,27,73,37.0,46,30,9,21,27,86,46,2
Mykola Kukharevych,ua UKR,FW,Troyes,fr Ligue 1,20,2001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Dejan Kulusevski,se SWE,MFFW,Tottenham,eng Premier League,21,2000,14,19,13,7,10,2,5,23,21.7,18,14,0,14,13,32,3,0
Dejan Kulusevski,se SWE,FWMF,Juventus,it Serie A,21,2000,9,15,12,9,6,0,8,21,38.1,13,14,0,14,5,20,5,0
Marash Kumbulla,al ALB,DF,Roma,it Serie A,21,2000,11,21,13,13,7,1,8,15,53.3,7,17,8,9,16,37,26,0
Fabian Kunze,de GER,MF,Arminia,de Bundesliga,23,1998,14,35,21,14,20,1,15,32,46.9,17,17,2,15,19,54,27,1
Enock Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,24,1997,22,54,35,31,19,4,33,72,45.8,39,17,4,13,43,97,48,1
Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,25,1995,4,3,2,1,1,1,0,6,0.0,6,6,0,6,0,3,1,0
Giorgos Kyriakopoulos,gr GRE,DFFW,Sassuolo,it Serie A,25,1996,22,30,14,19,7,4,19,38,50.0,19,32,9,23,11,41,52,0
Andrea La Mantia,it ITA,FWMF,Empoli,it Serie A,30,1991,5,2,0,0,0,2,1,2,50.0,1,3,1,2,1,3,6,0
Gaëtan Laborde,fr FRA,FW,Montpellier,fr Ligue 1,27,1994,4,2,2,1,1,0,2,4,50.0,2,3,0,3,5,7,5,0
Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,27,1994,30,19,7,5,8,6,3,22,13.6,19,29,3,26,8,27,16,0
Alexandre Lacazette,fr FRA,FW,Arsenal,eng Premier League,30,1991,20,27,10,8,13,6,7,21,33.3,14,12,1,11,5,32,6,0
Tom Lacoux,fr FRA,DFMF,Bordeaux,fr Ligue 1,19,2002,10,18,13,11,5,2,9,24,37.5,15,14,4,10,9,27,20,1
Lenny Lacroix,fr FRA,DF,Metz,fr Ligue 1,18,2003,2,9,7,8,1,0,5,8,62.5,3,5,1,4,10,19,5,0
Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,21,2000,28,59,33,41,16,2,29,40,72.5,11,35,16,19,60,119,144,0
Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38,3,3,3,0,0,3,8,37.5,5,1,0,1,1,4,25,2
Víctor Laguardia,es ESP,DF,Alavés,es La Liga,31,1989,34,29,16,21,8,0,19,30,63.3,11,36,24,12,27,56,151,1
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,24,1997,14,38,24,11,22,5,24,53,45.3,29,29,3,26,4,42,9,0
Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,28,1992,16,20,11,9,8,3,13,30,43.3,17,24,5,19,14,34,33,0
Diego Lainez,mx MEX,FW,Betis,es La Liga,21,2000,2,1,1,0,1,0,0,3,0.0,3,3,0,3,1,2,0,0
Adam Lallana,eng ENG,MF,Brighton,eng Premier League,33,1988,17,34,17,14,14,6,12,41,29.3,29,16,6,10,16,50,13,1
Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,31,1990,13,18,12,13,3,2,11,25,44.0,14,21,10,11,17,35,56,0
Érik Lamela,ar ARG,FWMF,Sevilla,es La Liga,29,1992,11,31,18,12,14,5,10,29,34.5,19,11,0,11,5,36,3,0
Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,27,12,5,4,3,5,3,24,12.5,21,7,1,6,7,19,14,0
Didier Lamkel Zé,cm CMR,FW,Metz,fr Ligue 1,24,1996,7,3,1,1,0,2,1,3,33.3,2,3,1,2,1,4,7,0
Sam Lammers,nl NED,FWMF,Atalanta,it Serie A,24,1997,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Sam Lammers,nl NED,FWMF,Eint Frankfurt,de Bundesliga,24,1997,6,4,4,0,2,2,2,6,33.3,4,9,2,7,2,6,4,0
Tariq Lamptey,gh GHA,DFFW,Brighton,eng Premier League,20,2000,17,36,25,14,17,5,15,25,60.0,10,13,3,10,21,57,23,0
Manuel Lanzini,ar ARG,MFFW,West Ham,eng Premier League,28,1993,20,28,15,10,11,7,10,35,28.6,25,16,0,16,19,47,10,0
Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,27,1994,31,33,15,22,10,1,14,20,70.0,6,15,10,5,20,53,64,2
Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,27,1993,32,63,45,35,26,2,32,64,50.0,32,37,22,15,54,117,174,0
Yasser Larouci,dz ALG,DF,Troyes,fr Ligue 1,20,2001,4,6,5,2,4,0,3,3,100.0,0,1,0,1,7,13,5,0
Kevin Lasagna,it ITA,MFFW,Hellas Verona,it Serie A,28,1992,13,13,7,4,5,4,4,15,26.7,11,16,0,16,3,16,7,0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,27,1993,23,15,7,9,5,1,4,12,33.3,8,38,28,10,22,37,121,1
Bryan Lasme,fr FRA,FW,Arminia,de Bundesliga,22,1998,10,6,6,1,2,3,0,3,0.0,3,7,0,7,1,7,9,0
Paul Lasne,fr FRA,MF,Brest,fr Ligue 1,32,1989,9,26,12,6,16,4,8,19,42.1,11,11,2,9,24,50,10,0
Latasa,es ESP,FW,Real Madrid,es La Liga,20,2001,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Toni Lato,es ESP,DF,Valencia,es La Liga,23,1997,7,17,12,12,3,2,9,16,56.3,7,6,0,6,8,25,14,0
Armand Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,28,33,18,9,16,8,11,30,36.7,19,27,2,25,15,48,3,0
Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,30,1990,31,36,23,20,8,8,21,39,53.8,18,28,4,24,19,55,49,1
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,27,1993,19,28,14,13,15,0,16,26,61.5,10,10,2,8,12,40,16,1
Théo Le Bris,fr FRA,MF,Lorient,fr Ligue 1,18,2002,1,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,1,0
Jérémy Le Douaron,fr FRA,FWMF,Brest,fr Ligue 1,23,1998,16,11,5,4,4,3,1,17,5.9,16,15,0,15,4,15,14,0
Enzo Le Fée,fr FRA,MFFW,Lorient,fr Ligue 1,21,2000,24,70,44,25,36,9,41,90,45.6,49,25,1,24,29,99,18,0
Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,31,1989,34,61,38,38,19,4,37,62,59.7,25,18,3,15,37,98,50,0
Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,31,1989,10,17,8,16,1,0,8,10,80.0,2,9,5,4,14,31,32,0
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,24,1996,37,49,32,36,8,5,28,36,77.8,8,34,22,12,48,97,125,0
Patrick Leal,us USA,FW,Venezia,it Serie A,18,2003,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Rafael Leão,pt POR,FW,Milan,it Serie A,22,1999,29,17,7,3,9,5,10,20,50.0,10,12,1,11,12,29,8,0
Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,26,0,0,0,0,0,0,0,,0,1,0,1,1,1,11,1
Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38,3,1,3,0,0,3,4,75.0,1,0,0,0,1,4,21,4
Pierre Lees-Melou,fr FRA,MF,Norwich City,eng Premier League,28,1993,25,58,36,23,29,6,25,92,27.2,67,37,11,26,25,83,23,0
Wu Lei,cn CHN,FWMF,Espanyol,es La Liga,29,1991,5,3,2,1,2,0,3,8,37.5,5,4,0,4,4,7,3,0
Maxim Leitsch,de GER,DF,Bochum,de Bundesliga,23,1998,17,18,10,9,7,2,10,15,66.7,5,31,19,12,31,49,74,1
Lucas Leiva,br BRA,MF,Lazio,it Serie A,34,1987,19,55,30,26,25,4,15,53,28.3,38,27,10,17,28,83,37,0
Florian Lejeune,fr FRA,DF,Alavés,es La Liga,30,1991,30,33,24,22,10,1,12,20,60.0,8,30,19,11,31,64,158,0
Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,28,1993,21,32,23,16,12,4,22,44,50.0,22,37,12,25,23,55,63,0
Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,25,1995,16,24,14,9,12,3,8,23,34.8,15,18,0,18,8,32,11,0
Félix Lemaréchal,ci CIV,MF,Monaco,fr Ligue 1,17,2003,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Mario Lemina,ga GAB,MF,Nice,fr Ligue 1,27,1993,22,62,35,25,33,4,28,38,73.7,10,32,9,23,48,110,37,0
Fabien Lemoine,fr FRA,MF,Lorient,fr Ligue 1,34,1987,12,35,22,20,14,1,17,41,41.5,24,21,4,17,14,49,24,1
Tim Lemperle,de GER,FWMF,Köln,de Bundesliga,19,2002,2,4,1,2,1,1,1,3,33.3,2,1,0,1,2,6,2,0
Ruben Lendinez,es ESP,DF,Valencia,es La Liga,18,2003,2,3,3,1,2,0,3,8,37.5,5,4,0,4,2,5,6,0
Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,26,1995,9,20,11,11,7,2,8,13,61.5,5,7,3,4,13,33,21,0
Aaron Lennon,eng ENG,MFFW,Burnley,eng Premier League,34,1987,17,33,17,10,13,10,10,34,29.4,24,26,4,22,9,42,14,0
Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,26,1994,7,29,15,22,6,1,12,21,57.1,9,9,4,5,7,36,21,0
Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,21,2000,7,31,21,17,11,3,12,34,35.3,22,20,4,16,8,39,8,0
Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,33,10,3,0,6,4,5,17,29.4,12,17,2,15,6,16,8,0
Jamie Leweling,de GER,FWMF,Greuther Fürth,de Bundesliga,20,2001,22,13,8,3,7,3,3,16,18.8,13,9,0,9,13,26,5,0
Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23,1998,3,8,6,6,1,1,3,4,75.0,1,3,2,1,3,11,8,0
Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Ben Lhassine Kone,ci CIV,MF,Torino,it Serie A,21,2000,1,3,3,1,2,0,1,2,50.0,1,0,0,0,1,4,1,0
Yanis Lhery,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2003,1,0,0,0,0,0,0,0,,0,4,0,4,0,0,0,0
Dimitri Liénard,fr FRA,DFMF,Strasbourg,fr Ligue 1,33,1988,23,71,43,40,21,10,46,77,59.7,31,12,0,12,21,92,28,0
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,25,1996,32,24,13,17,6,1,13,24,54.2,11,33,23,10,50,74,158,1
Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,21,1999,30,34,19,21,13,0,15,18,83.3,3,31,21,10,26,60,103,0
Isaac Lihadji,fr FRA,MFFW,Lille,fr Ligue 1,19,2002,3,3,3,1,1,1,1,5,20.0,4,1,0,1,2,5,0,0
Anderson Lima,br BRA,MF,Lazio,it Serie A,21,1999,1,2,0,1,1,0,0,2,0.0,2,1,0,1,2,4,1,0
Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,27,1994,26,16,11,9,7,0,9,14,64.3,5,26,17,9,25,41,96,0
Jesper Lindstrøm,dk DEN,MFFW,Eint Frankfurt,de Bundesliga,21,2000,22,28,13,6,13,9,12,36,33.3,24,30,0,30,24,52,11,1
Karol Linetty,pl POL,MFFW,Torino,it Serie A,26,1995,10,14,8,3,4,7,6,18,33.3,12,8,0,8,3,17,2,0
Jesse Lingard,eng ENG,FWMF,Manchester Utd,eng Premier League,28,1992,4,9,7,4,3,2,2,6,33.3,4,4,0,4,0,9,1,0
Pol Lirola,es ESP,DFFW,Marseille,fr Ligue 1,23,1997,20,28,16,15,9,4,13,28,46.4,15,15,0,15,13,41,22,0
Valentino Livramento,eng ENG,DF,Southampton,eng Premier League,18,2002,25,54,28,30,18,6,27,45,60.0,18,23,9,14,47,101,50,1
Dejan Ljubicic,at AUT,MFFW,Köln,de Bundesliga,23,1997,22,33,19,12,13,8,13,49,26.5,36,19,1,18,15,48,11,0
Javier Llabrés,,FWMF,Mallorca,es La Liga,,,1.5,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,0,0
Diego Llorente,es ESP,DF,Leeds United,eng Premier League,27,1993,26,53,31,32,19,2,33,47,70.2,14,35,17,18,40,93,77,2
Marcos Llorente,es ESP,MFDF,Atlético Madrid,es La Liga,26,1995,27.2,51,23,25,22,4,28,43,65.1,15,33,10,23,27,78,44,0
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,24,3
Giovani Lo Celso,ar ARG,MFFW,Tottenham,eng Premier League,25,1996,2.6,8,4,4,2,2,4,10,40.0,6,6,1,5,1,9,0,1
Giovani Lo Celso,ar ARG,FWMF,Villarreal,es La Liga,25,1996,11,22,12,8,10,4,9,22,40.9,13,4,0,4,5,27,3,0
Julen Lobete,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,3.2,4,3,3,0,1,1,2,50.0,1,6,1,5,1,5,1,0
Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,26,1994,18.7,39,24,16,20,3,14,36,38.9,22,9,1,8,12,51,13,1
Jürgen Locadia,nl NED,MFFW,Brighton,eng Premier League,27,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jürgen Locadia,nl NED,FWMF,Bochum,de Bundesliga,27,1993,4.9,4,2,1,0,3,1,1,100.0,0,1,0,1,1,5,2,0
Manuel Locatelli,it ITA,MF,Juventus,it Serie A,23,1998,24,44,25,21,16,7,21,47,44.7,26,43,21,22,22,66,33,0
Banzouzi Locko,fr FRA,MFDF,Reims,fr Ligue 1,19,2002,11.2,28,19,13,11,4,14,24,58.3,10,20,8,12,14,42,15,0
Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,23,1998,13.1,31,18,14,13,4,11,27,40.7,16,22,4,18,13,44,19,1
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,eng Premier League,25,1996,15.5,29,10,16,11,2,10,19,52.6,9,15,6,9,11,40,17,0
Kevin Long,ie IRL,DF,Burnley,eng Premier League,30,1990,4.6,3,2,1,2,0,1,2,50.0,1,4,1,3,1,4,20,0
Shane Long,ie IRL,FW,Southampton,eng Premier League,34,1987,3.4,9,5,2,4,3,1,1,100.0,0,4,0,4,0,9,2,0
Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,23,1997,16.3,54,34,18,31,5,24,65,36.9,41,18,6,12,9,63,18,0
