Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,1996,7,14,8,10,3,1,5,17,29.4,12,22,5,17,6,20,16,0
Dele Alli,eng ENG,MFFW,Everton,eng Premier League,25,1996,4,7,2,3,4,0,0,4,0.0,4,7,2,5,6,13,10,0
Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,27,1994,19,47,29,23,17,7,11,44,25.0,33,14,1,13,20,67,13,0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0
Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16,39,28,18,18,3,21,26,80.8,5,17,5,12,30,69,70,0
Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,21,24,14,15,8,1,10,18,55.6,8,21,16,5,45,69,97,0
Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12,30,19,13,13,4,14,26,53.8,12,10,3,7,11,41,10,2
Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,5,10,4,4,5,1,4,7,57.1,3,2,1,1,10,20,10,0
Ibrahim Amadou,fr FRA,DFMF,Metz,fr Ligue 1,28,1993,9,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0
Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,1,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,24,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4
Amath,sn SEN,FWMF,Mallorca,es La Liga,25,1996,10,21,11,11,6,4,7,17,41.2,10,12,0,12,7,28,7,0
Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,5,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0
Jordan Amavi,fr FRA,DFFW,Marseille,fr Ligue 1,27,1994,1,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0
Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,1,3,2,1,1,1,2,3,66.7,1,2,0,2,3,6,1,0
Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29,66,42,43,18,5,30,41,73.2,11,39,21,18,32,98,75,0
Nadiem Amiri,de GER,MFFW,Genoa,it Serie A,24,1996,8,6,4,2,2,2,2,9,22.2,7,7,0,7,0,6,0,0
Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,24,1996,4,8,4,3,2,3,4,8,50.0,4,4,2,2,5,13,0,0
Ethan Ampadu,wls WAL,MFDF,Venezia,it Serie A,20,2000,25,67,43,37,27,3,24,58,41.4,34,49,19,30,51,118,76,0
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,11,24,13,9,13,2,11,19,57.9,8,25,8,17,5,29,6,1
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3
Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32,71,45,30,33,8,27,99,27.3,72,65,6,59,20,91,16,0
Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14,11,7,0,3,8,3,9,33.3,6,8,0,8,3,14,14,0
Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0
Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,12,27,16,18,8,1,17,35,48.6,18,16,7,9,19,46,44,0
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,31,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0
Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,4,12,10,7,4,1,7,9,77.8,2,6,2,4,6,18,8,0
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20,33,17,18,14,1,14,28,50.0,14,19,7,12,31,64,46,0
José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12,20,13,9,9,2,9,14,64.3,5,6,1,5,10,30,21,0
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,26,28,21,14,13,1,14,30,46.7,16,24,3,21,29,57,40,0
Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0
Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,8,20,9,11,7,2,10,13,76.9,3,9,1,8,6,26,10,0
Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,9,18,11,6,6,6,5,13,38.5,8,7,1,6,4,22,6,0
Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,29,40,26,22,15,3,19,32,59.4,13,27,16,11,32,72,116,1
Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,1,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33,23,17,5,9,9,7,18,38.9,11,19,1,18,3,26,14,0
Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,27,1994,13,24,18,7,10,7,7,27,25.9,20,13,0,13,1,25,8,0
Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,28,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0
Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2002,12,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,30,62,37,19,32,11,20,68,29.4,48,35,5,30,32,94,18,0
Mattia Aramu,it ITA,MFFW,Venezia,it Serie A,26,1995,23,20,15,5,9,6,8,33,24.2,25,20,2,18,8,28,19,0
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,18,45,25,18,21,6,22,52,42.3,30,24,4,20,33,78,21,0
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29,22,14,17,5,0,9,21,42.9,12,17,10,7,27,49,105,2
